Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-06 14:12:04.210525	,0	,1.1807,	0.0000,	0.6157
2024-04-06 14:12:04.221344	,1	,1.1410,	0.0000,	0.6157
2024-04-06 14:12:04.232343	,2	,1.1458,	0.0000,	0.6157
2024-04-06 14:12:04.238344	,3	,1.1111,	0.0000,	0.6157
2024-04-06 14:12:04.245342	,4	,1.1820,	0.0000,	0.6157
2024-04-06 14:12:04.252342	,5	,1.1439,	0.0000,	0.6157
2024-04-06 14:12:04.259344	,6	,1.1523,	0.0000,	0.6157
2024-04-06 14:12:04.266346	,7	,1.1047,	0.0000,	0.6157
2024-04-06 14:12:04.273345	,8	,1.2001,	0.0000,	0.6157
2024-04-06 14:12:04.283344	,9	,1.1547,	0.0000,	0.6157
2024-04-06 14:12:04.291344	,10	,1.1489,	0.0000,	0.6157
2024-04-06 14:12:04.298343	,11	,1.1969,	0.0000,	0.6157
2024-04-06 14:12:04.308345	,12	,1.1795,	0.0000,	0.6157
2024-04-06 14:12:04.317345	,13	,1.2185,	0.0000,	0.6157
2024-04-06 14:12:04.326129	,14	,1.1144,	0.0000,	0.6157
2024-04-06 14:12:04.336130	,15	,1.1767,	0.0000,	0.6157
2024-04-06 14:12:04.343130	,16	,1.0868,	0.0000,	0.6157
2024-04-06 14:12:04.350130	,17	,1.1054,	0.0000,	0.6157
2024-04-06 14:12:04.358131	,18	,1.0580,	0.0000,	0.6157
2024-04-06 14:12:04.365129	,19	,1.2252,	0.0000,	0.6157
2024-04-06 14:12:04.371129	,20	,1.2024,	0.0000,	0.6157
2024-04-06 14:12:04.378129	,21	,1.2008,	0.0000,	0.6157
2024-04-06 14:12:04.387128	,22	,1.1283,	0.0000,	0.6157
2024-04-06 14:12:04.394129	,23	,1.1741,	0.0000,	0.6157
2024-04-06 14:12:04.402682	,24	,1.0926,	0.0000,	0.6157
2024-04-06 14:12:04.410682	,25	,1.0753,	0.0000,	0.6157
2024-04-06 14:12:04.417683	,26	,1.1972,	0.0000,	0.6157
2024-04-06 14:12:04.423683	,27	,1.2351,	0.0000,	0.6157
2024-04-06 14:12:04.429683	,28	,1.1682,	0.0000,	0.6157
2024-04-06 14:12:04.438180	,29	,1.1086,	0.0000,	0.6157
2024-04-06 14:12:04.447178	,30	,1.1581,	0.0000,	0.6157
2024-04-06 14:12:04.456180	,31	,1.2481,	0.0000,	0.6157
2024-04-06 14:12:04.466808	,32	,1.0864,	0.0000,	0.6157
2024-04-06 14:12:04.475806	,33	,1.1707,	0.0000,	0.6157
2024-04-06 14:12:04.484806	,34	,1.1249,	0.0000,	0.6157
2024-04-06 14:12:04.492806	,35	,1.1615,	0.0000,	0.6157
2024-04-06 14:12:04.498807	,36	,1.1441,	0.0000,	0.6157
2024-04-06 14:12:04.507807	,37	,1.1416,	0.0000,	0.6157
2024-04-06 14:12:04.516807	,38	,1.1405,	0.0000,	0.6157
2024-04-06 14:12:04.525807	,39	,1.2102,	0.0000,	0.6157
2024-04-06 14:12:04.534807	,40	,1.1903,	0.0000,	0.6157
2024-04-06 14:12:04.543285	,41	,1.1656,	0.0000,	0.6157
2024-04-06 14:12:04.551290	,42	,1.1416,	0.0000,	0.6157
2024-04-06 14:12:04.558293	,43	,1.1599,	0.0000,	0.6157
2024-04-06 14:12:04.566290	,44	,1.1282,	0.0000,	0.6157
2024-04-06 14:12:04.573290	,45	,1.1415,	0.0000,	0.6157
2024-04-06 14:12:04.580290	,46	,1.0476,	0.0000,	0.6157
2024-04-06 14:12:04.589293	,47	,1.1103,	0.0000,	0.6157
2024-04-06 14:12:04.595293	,48	,1.1417,	0.0000,	0.6157
2024-04-06 14:12:04.603319	,49	,1.1029,	0.0000,	0.6157
2024-04-06 14:12:04.611319	,50	,1.1795,	0.0000,	0.6157
2024-04-06 14:12:04.618321	,51	,1.0103,	0.0000,	0.6157
2024-04-06 14:12:04.626319	,52	,1.0892,	0.0000,	0.6157
2024-04-06 14:12:04.636325	,53	,1.1001,	0.0000,	0.6157
2024-04-06 14:12:04.643324	,54	,1.1202,	0.0000,	0.6157
2024-04-06 14:12:04.654637	,55	,1.1507,	0.0000,	0.6157
2024-04-06 14:12:04.667147	,56	,1.1749,	0.0000,	0.6157
2024-04-06 14:12:04.674534	,57	,1.1813,	0.0000,	0.6157
2024-04-06 14:12:04.683538	,58	,1.1986,	0.0000,	0.6157
2024-04-06 14:12:04.689538	,59	,1.1265,	0.0000,	0.6157
2024-04-06 14:12:04.697540	,60	,1.1840,	0.0000,	0.6157
2024-04-06 14:12:04.704539	,61	,1.1620,	0.0000,	0.6157
2024-04-06 14:12:04.712539	,62	,1.1306,	0.0000,	0.6157
2024-04-06 14:12:04.722082	,63	,1.1260,	0.0000,	0.6157
