Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 19:54:23.908558	,0	,2.8902,	0.0000,	0.0000
2024-04-17 19:54:35.355053	,1	,3.3881,	0.0000,	0.0000
2024-04-17 19:54:47.282554	,2	,3.3749,	0.0000,	0.0000
2024-04-17 19:54:58.854297	,3	,2.8090,	0.0000,	0.0000
2024-04-17 19:55:10.337021	,4	,2.9069,	0.0000,	0.0267
2024-04-17 19:55:21.834875	,5	,3.1631,	0.0000,	0.1167
2024-04-17 19:55:33.251604	,6	,3.2194,	0.0000,	0.2900
2024-04-17 19:55:44.694398	,7	,2.7064,	0.0000,	0.3300
2024-04-17 19:55:56.269065	,8	,2.7121,	0.0000,	0.3800
2024-04-17 19:56:07.932417	,9	,2.4865,	0.0000,	0.2500
2024-04-17 19:56:19.634961	,10	,2.6291,	0.0000,	0.0000
2024-04-17 19:56:31.111269	,11	,2.4467,	0.0000,	0.0000
2024-04-17 19:56:42.654719	,12	,2.5093,	0.0000,	0.0000
2024-04-17 19:56:54.179655	,13	,2.5425,	0.0000,	0.0000
2024-04-17 19:57:05.859427	,14	,2.4570,	0.0000,	0.0267
2024-04-17 19:57:18.646115	,15	,2.4966,	0.0000,	0.1167
2024-04-17 19:57:30.741702	,16	,2.2765,	0.0000,	0.2900
2024-04-17 19:57:42.878817	,17	,2.3556,	0.0000,	0.3300
2024-04-17 19:57:54.502838	,18	,2.1344,	0.0000,	0.3800
2024-04-17 19:58:06.002855	,19	,2.0953,	0.0000,	0.2500
2024-04-17 19:58:17.350970	,20	,2.0675,	0.0000,	0.0000
2024-04-17 19:58:28.731093	,21	,2.0583,	0.0000,	0.0000
2024-04-17 19:58:40.239346	,22	,2.2844,	0.0000,	0.0000
2024-04-17 19:58:52.270347	,23	,2.1754,	0.0000,	0.0000
2024-04-17 19:59:04.323740	,24	,2.3351,	0.0000,	0.0267
2024-04-17 19:59:16.232397	,25	,2.1088,	0.0000,	0.1167
2024-04-17 19:59:28.624580	,26	,2.1305,	0.0000,	0.2900
2024-04-17 19:59:40.770305	,27	,2.1070,	0.0000,	0.3300
2024-04-17 19:59:53.023251	,28	,1.9599,	0.0000,	0.3800
2024-04-17 20:00:05.114495	,29	,1.8671,	0.0000,	0.2500
2024-04-17 20:00:17.380673	,30	,1.8694,	0.0000,	0.0000
2024-04-17 20:00:29.463347	,31	,1.9371,	0.0000,	0.0000
2024-04-17 20:00:41.531985	,32	,1.8986,	0.0000,	0.0000
2024-04-17 20:00:53.678893	,33	,1.9255,	0.0000,	0.0000
2024-04-17 20:01:05.747350	,34	,1.8934,	0.0000,	0.0267
2024-04-17 20:01:17.946946	,35	,1.9905,	0.0000,	0.1167
2024-04-17 20:01:29.993689	,36	,1.8342,	0.0000,	0.2900
2024-04-17 20:01:42.001927	,37	,1.8791,	0.0000,	0.3300
2024-04-17 20:01:53.908872	,38	,1.8631,	0.0000,	0.3800
2024-04-17 20:02:06.188921	,39	,1.7859,	0.0000,	0.2500
2024-04-17 20:02:18.332514	,40	,1.7526,	0.0000,	0.0000
2024-04-17 20:02:30.347339	,41	,1.6801,	0.0000,	0.0000
2024-04-17 20:02:42.556349	,42	,1.8120,	0.0000,	0.0000
2024-04-17 20:02:54.414631	,43	,1.7461,	0.0000,	0.0000
2024-04-17 20:03:06.478959	,44	,1.7673,	0.0000,	0.0267
2024-04-17 20:03:18.166859	,45	,1.7770,	0.0000,	0.1167
2024-04-17 20:03:30.127219	,46	,1.7858,	0.0000,	0.2900
2024-04-17 20:03:42.228396	,47	,1.8301,	0.0000,	0.3300
2024-04-17 20:03:54.279859	,48	,1.6883,	0.0000,	0.3800
2024-04-17 20:04:06.391799	,49	,1.9613,	0.0000,	0.2500
2024-04-17 20:04:18.337184	,50	,1.7587,	0.0000,	0.0000
2024-04-17 20:04:30.627183	,51	,1.6256,	0.0000,	0.0000
2024-04-17 20:04:42.672352	,52	,1.6225,	0.0000,	0.0000
2024-04-17 20:04:54.978473	,53	,1.6805,	0.0000,	0.0000
2024-04-17 20:05:06.725938	,54	,1.6286,	0.0000,	0.0267
2024-04-17 20:05:18.496391	,55	,1.7024,	0.0000,	0.1167
2024-04-17 20:05:30.268902	,56	,1.6509,	0.0000,	0.2900
2024-04-17 20:05:42.064279	,57	,1.6914,	0.0000,	0.3300
2024-04-17 20:05:53.740897	,58	,1.6463,	0.0000,	0.3800
2024-04-17 20:06:05.498379	,59	,1.6808,	0.0000,	0.2500
2024-04-17 20:06:17.495082	,60	,1.6971,	0.0000,	0.0000
2024-04-17 20:06:29.133207	,61	,1.7189,	0.0000,	0.0000
2024-04-17 20:06:41.656333	,62	,1.5842,	0.0000,	0.0000
