Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 12:50:42.425555	,0	,1.1871,	0.0000,	0.2253
2024-04-17 12:50:42.436853	,1	,1.1380,	0.0000,	0.2300
2024-04-17 12:50:42.455910	,2	,1.1071,	0.0000,	0.2187
2024-04-17 12:50:42.485065	,3	,1.1261,	0.0000,	0.2240
2024-04-17 12:50:42.514042	,4	,1.1951,	0.0000,	0.2067
2024-04-17 12:50:42.521045	,5	,1.1240,	0.0000,	0.2287
2024-04-17 12:50:42.533114	,6	,1.1325,	0.0000,	0.2140
2024-04-17 12:50:42.551017	,7	,1.1064,	0.0000,	0.2147
2024-04-17 12:50:42.559089	,8	,1.2050,	0.0000,	0.2433
2024-04-17 12:50:42.573601	,9	,1.1837,	0.0000,	0.2380
2024-04-17 12:50:42.585418	,10	,1.1781,	0.0000,	0.2280
2024-04-17 12:50:42.591121	,11	,1.2251,	0.0000,	0.2387
2024-04-17 12:50:42.599657	,12	,1.1768,	0.0000,	0.2220
2024-04-17 12:50:42.605522	,13	,1.2256,	0.0000,	0.2047
2024-04-17 12:50:42.617679	,14	,1.1279,	0.0000,	0.2167
2024-04-17 12:50:42.624183	,15	,1.1264,	0.0000,	0.2333
2024-04-17 12:50:42.633373	,16	,1.1134,	0.0000,	0.2060
2024-04-17 12:50:42.640521	,17	,1.1072,	0.0000,	0.2147
2024-04-17 12:50:42.650530	,18	,1.0437,	0.0000,	0.2287
2024-04-17 12:50:42.658307	,19	,1.2201,	0.0000,	0.2313
2024-04-17 12:50:42.670319	,20	,1.1861,	0.0000,	0.2240
2024-04-17 12:50:42.679354	,21	,1.2133,	0.0000,	0.2193
2024-04-17 12:50:42.688369	,22	,1.1232,	0.0000,	0.2367
2024-04-17 12:50:42.699043	,23	,1.1820,	0.0000,	0.2300
2024-04-17 12:50:42.706085	,24	,1.0939,	0.0000,	0.2253
2024-04-17 12:50:42.715104	,25	,1.0846,	0.0000,	0.2227
2024-04-17 12:50:42.722108	,26	,1.1738,	0.0000,	0.2033
2024-04-17 12:50:42.733157	,27	,1.1578,	0.0000,	0.2407
2024-04-17 12:50:42.739740	,28	,1.1635,	0.0000,	0.2193
2024-04-17 12:50:42.747295	,29	,1.0874,	0.0000,	0.2213
2024-04-17 12:50:42.755136	,30	,1.1409,	0.0000,	0.2253
2024-04-17 12:50:42.762136	,31	,1.2401,	0.0000,	0.2300
2024-04-17 12:50:42.769882	,32	,1.0840,	0.0000,	0.2187
2024-04-17 12:50:42.777410	,33	,1.1517,	0.0000,	0.2240
2024-04-17 12:50:42.785296	,34	,1.1535,	0.0000,	0.2067
2024-04-17 12:50:42.794443	,35	,1.1783,	0.0000,	0.2287
2024-04-17 12:50:42.801449	,36	,1.1165,	0.0000,	0.2140
2024-04-17 12:50:42.811463	,37	,1.1173,	0.0000,	0.2147
2024-04-17 12:50:42.819093	,38	,1.1357,	0.0000,	0.2433
2024-04-17 12:50:42.828674	,39	,1.2310,	0.0000,	0.2380
2024-04-17 12:50:42.836844	,40	,1.1534,	0.0000,	0.2280
2024-04-17 12:50:42.848861	,41	,1.1616,	0.0000,	0.2387
2024-04-17 12:50:42.856874	,42	,1.1403,	0.0000,	0.2220
2024-04-17 12:50:42.864380	,43	,1.1471,	0.0000,	0.2047
2024-04-17 12:50:42.870413	,44	,1.1137,	0.0000,	0.2167
2024-04-17 12:50:42.879618	,45	,1.1202,	0.0000,	0.2333
2024-04-17 12:50:42.888631	,46	,1.0462,	0.0000,	0.2060
2024-04-17 12:50:42.896400	,47	,1.1251,	0.0000,	0.2147
2024-04-17 12:50:42.906428	,48	,1.1461,	0.0000,	0.2287
2024-04-17 12:50:42.914454	,49	,1.0891,	0.0000,	0.2313
2024-04-17 12:50:42.921515	,50	,1.1995,	0.0000,	0.2240
2024-04-17 12:50:42.931025	,51	,1.0192,	0.0000,	0.2193
2024-04-17 12:50:42.938135	,52	,1.0939,	0.0000,	0.2367
2024-04-17 12:50:42.945157	,53	,1.1106,	0.0000,	0.2300
