Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-08 15:59:48.088518	,0	,2.7240,	0.0000,	0.3868
2024-04-08 16:00:07.292702	,1	,2.5382,	0.0000,	0.3868
2024-04-08 16:00:27.091249	,2	,2.3738,	0.0000,	0.3868
2024-04-08 16:00:46.160350	,3	,2.4199,	0.0000,	0.3868
2024-04-08 16:01:05.306816	,4	,2.3744,	0.0000,	0.3868
2024-04-08 16:01:24.552295	,5	,2.1269,	0.0000,	0.3868
2024-04-08 16:01:43.906497	,6	,2.2245,	0.0000,	0.3868
2024-04-08 16:02:03.304278	,7	,2.1945,	0.0000,	0.3868
2024-04-08 16:02:22.229340	,8	,2.1900,	0.0000,	0.3868
2024-04-08 16:02:41.268068	,9	,2.1436,	0.0000,	0.3868
2024-04-08 16:03:00.237027	,10	,2.0270,	0.0000,	0.3868
2024-04-08 16:03:19.137294	,11	,1.9663,	0.0000,	0.3868
2024-04-08 16:03:38.152512	,12	,2.0762,	0.0000,	0.3868
2024-04-08 16:03:57.277486	,13	,2.0897,	0.0000,	0.3868
2024-04-08 16:04:16.192037	,14	,2.0893,	0.0000,	0.3868
2024-04-08 16:04:35.501482	,15	,1.9947,	0.0000,	0.3868
2024-04-08 16:04:54.648700	,16	,1.8895,	0.0000,	0.3868
2024-04-08 16:05:13.715723	,17	,1.8186,	0.0000,	0.3868
2024-04-08 16:05:32.813325	,18	,1.9757,	0.0000,	0.3868
2024-04-08 16:05:51.843552	,19	,1.8890,	0.0000,	0.3868
2024-04-08 16:06:10.690386	,20	,1.9583,	0.0000,	0.3868
2024-04-08 16:06:29.673527	,21	,1.8215,	0.0000,	0.3868
2024-04-08 16:06:48.522547	,22	,1.9833,	0.0000,	0.3868
2024-04-08 16:07:07.657483	,23	,1.7040,	0.0000,	0.3868
2024-04-08 16:07:26.560359	,24	,1.6584,	0.0000,	0.3868
2024-04-08 16:07:45.809572	,25	,1.7971,	0.0000,	0.3868
2024-04-08 16:08:04.848407	,26	,1.7673,	0.0000,	0.3868
2024-04-08 16:08:23.925754	,27	,1.7405,	0.0000,	0.3868
2024-04-08 16:08:42.765047	,28	,1.6940,	0.0000,	0.3868
