Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-11 14:43:32.424682	,0	,1.1661,	0.0000,	0.2347
2024-04-11 14:43:32.435276	,1	,1.1300,	0.0000,	0.2243
2024-04-11 14:43:32.445857	,2	,1.1329,	0.0000,	0.2213
2024-04-11 14:43:32.454417	,3	,1.1253,	0.0000,	0.2250
2024-04-11 14:43:32.464459	,4	,1.1734,	0.0000,	0.2220
2024-04-11 14:43:32.473476	,5	,1.1116,	0.0000,	0.2147
2024-04-11 14:43:32.483079	,6	,1.1640,	0.0000,	0.2317
2024-04-11 14:43:32.490161	,7	,1.1268,	0.0000,	0.2120
2024-04-11 14:43:32.500186	,8	,1.1772,	0.0000,	0.2180
2024-04-11 14:43:32.511185	,9	,1.1977,	0.0000,	0.2270
2024-04-11 14:43:32.519691	,10	,1.1358,	0.0000,	0.2243
2024-04-11 14:43:32.527803	,11	,1.1982,	0.0000,	0.2137
2024-04-11 14:43:32.537990	,12	,1.1626,	0.0000,	0.2257
2024-04-11 14:43:32.545090	,13	,1.1760,	0.0000,	0.2040
2024-04-11 14:43:32.554110	,14	,1.1740,	0.0000,	0.2403
2024-04-11 14:43:32.561109	,15	,1.1529,	0.0000,	0.2320
2024-04-11 14:43:32.570249	,16	,1.1228,	0.0000,	0.2207
2024-04-11 14:43:32.577840	,17	,1.0902,	0.0000,	0.2240
2024-04-11 14:43:32.586760	,18	,1.0562,	0.0000,	0.2210
2024-04-11 14:43:32.593779	,19	,1.2083,	0.0000,	0.2210
2024-04-11 14:43:32.602793	,20	,1.1644,	0.0000,	0.2217
2024-04-11 14:43:32.609365	,21	,1.2291,	0.0000,	0.2180
2024-04-11 14:43:32.620402	,22	,1.1548,	0.0000,	0.2253
2024-04-11 14:43:32.627499	,23	,1.1406,	0.0000,	0.2113
2024-04-11 14:43:32.637518	,24	,1.1160,	0.0000,	0.2133
2024-04-11 14:43:32.647386	,25	,1.0595,	0.0000,	0.2180
2024-04-11 14:43:32.656477	,26	,1.2204,	0.0000,	0.2203
2024-04-11 14:43:32.664500	,27	,1.2037,	0.0000,	0.2090
2024-04-11 14:43:32.670500	,28	,1.1865,	0.0000,	0.2307
2024-04-11 14:43:32.677664	,29	,1.1025,	0.0000,	0.2197
2024-04-11 14:43:32.687218	,30	,1.1684,	0.0000,	0.2347
2024-04-11 14:43:32.698224	,31	,1.2360,	0.0000,	0.2243
2024-04-11 14:43:32.708237	,32	,1.0831,	0.0000,	0.2213
2024-04-11 14:43:32.716367	,33	,1.1564,	0.0000,	0.2250
2024-04-11 14:43:32.726380	,34	,1.1499,	0.0000,	0.2220
