Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-09 20:10:50.440341	,85	,1.0981,	0.0000,	0.2180
2024-04-09 20:10:59.618385	,86	,1.1601,	0.0000,	0.2220
2024-04-09 20:11:08.800464	,87	,1.1166,	0.0000,	0.2393
2024-04-09 20:11:18.048837	,88	,1.1018,	0.0000,	0.2533
2024-04-09 20:11:27.165694	,89	,1.1112,	0.0000,	0.2347
2024-04-09 20:11:36.277700	,90	,1.0666,	0.0000,	0.1967
2024-04-09 20:11:45.366272	,91	,1.0619,	0.0000,	0.2367
2024-04-09 20:11:54.467328	,92	,1.1187,	0.0000,	0.2247
2024-04-09 20:12:03.654459	,93	,1.0559,	0.0000,	0.2180
2024-04-09 20:12:12.849880	,94	,1.1355,	0.0000,	0.2220
2024-04-09 20:12:22.100327	,95	,1.0882,	0.0000,	0.2393
2024-04-09 20:12:31.106491	,96	,1.1159,	0.0000,	0.2533
2024-04-09 20:12:40.135802	,97	,1.0645,	0.0000,	0.2347
2024-04-09 20:12:49.143751	,98	,1.0352,	0.0000,	0.1967
2024-04-09 20:12:58.371408	,99	,1.0695,	0.0000,	0.2367
2024-04-09 20:13:07.496486	,100	,1.0629,	0.0000,	0.2247
2024-04-09 20:13:16.536319	,101	,1.1068,	0.0000,	0.2180
2024-04-09 20:13:25.674259	,102	,1.0494,	0.0000,	0.2220
2024-04-09 20:13:34.775358	,103	,1.0868,	0.0000,	0.2393
2024-04-09 20:13:43.749713	,104	,1.0236,	0.0000,	0.2533
2024-04-09 20:13:52.963368	,105	,1.0856,	0.0000,	0.2347
2024-04-09 20:14:02.029419	,106	,0.9840,	0.0000,	0.1967
2024-04-09 20:14:11.148879	,107	,1.0407,	0.0000,	0.2367
2024-04-09 20:14:20.247403	,108	,1.0510,	0.0000,	0.2247
2024-04-09 20:14:29.319737	,109	,1.0974,	0.0000,	0.2180
2024-04-09 20:14:38.344213	,110	,1.0979,	0.0000,	0.2220
2024-04-09 20:14:47.548566	,111	,1.0493,	0.0000,	0.2393
2024-04-09 20:14:56.660999	,112	,1.0615,	0.0000,	0.2533
2024-04-09 20:15:05.942633	,113	,1.1010,	0.0000,	0.2347
2024-04-09 20:15:14.988153	,114	,1.0372,	0.0000,	0.1967
2024-04-09 20:15:24.030961	,115	,0.9981,	0.0000,	0.2367
2024-04-09 20:15:33.027768	,116	,1.0114,	0.0000,	0.2247
2024-04-09 20:15:42.109727	,117	,1.0482,	0.0000,	0.2180
2024-04-09 20:15:51.251568	,118	,1.0570,	0.0000,	0.2220
2024-04-09 20:16:00.483759	,119	,1.0174,	0.0000,	0.2393
2024-04-09 20:16:09.715647	,120	,0.9985,	0.0000,	0.2533
2024-04-09 20:16:18.820938	,121	,1.0631,	0.0000,	0.2347
2024-04-09 20:16:27.914208	,122	,1.0571,	0.0000,	0.1967
2024-04-09 20:16:37.066869	,123	,1.0364,	0.0000,	0.2367
2024-04-09 20:16:46.245790	,124	,1.0531,	0.0000,	0.2247
2024-04-09 20:16:55.422473	,125	,1.0018,	0.0000,	0.2180
2024-04-09 20:17:04.498196	,126	,1.0127,	0.0000,	0.2220
2024-04-09 20:17:13.735370	,127	,0.9883,	0.0000,	0.2393
2024-04-09 20:17:22.915612	,128	,1.0148,	0.0000,	0.2533
2024-04-09 20:17:32.024131	,129	,1.0016,	0.0000,	0.2347
2024-04-09 20:17:41.167279	,130	,0.9963,	0.0000,	0.1967
2024-04-09 20:17:50.401136	,131	,0.9807,	0.0000,	0.2367
2024-04-09 20:17:59.506306	,132	,0.9968,	0.0000,	0.2247
2024-04-09 20:18:08.694287	,133	,1.0060,	0.0000,	0.2180
2024-04-09 20:18:17.969808	,134	,0.9800,	0.0000,	0.2220
2024-04-09 20:18:27.016677	,135	,0.9699,	0.0000,	0.2393
2024-04-09 20:18:36.061561	,136	,0.9704,	0.0000,	0.2533
2024-04-09 20:18:45.248933	,137	,1.0056,	0.0000,	0.2347
2024-04-09 20:18:54.568110	,138	,1.0356,	0.0000,	0.1967
2024-04-09 20:19:03.661864	,139	,0.9770,	0.0000,	0.2367
2024-04-09 20:19:12.663067	,140	,1.0390,	0.0000,	0.2247
2024-04-09 20:19:21.791465	,141	,1.0008,	0.0000,	0.2180
2024-04-09 20:19:30.868431	,142	,1.0107,	0.0000,	0.2220
2024-04-09 20:19:39.873595	,143	,1.0322,	0.0000,	0.2393
2024-04-09 20:19:48.879292	,144	,0.9968,	0.0000,	0.2533
2024-04-09 20:19:57.938090	,145	,0.9959,	0.0000,	0.2347
2024-04-09 20:20:07.001676	,146	,0.9965,	0.0000,	0.1967
2024-04-09 20:20:16.006373	,147	,0.9659,	0.0000,	0.2367
2024-04-09 20:20:25.256860	,148	,0.9917,	0.0000,	0.2247
2024-04-09 20:20:34.320365	,149	,0.9691,	0.0000,	0.2180
2024-04-09 20:20:43.572937	,150	,0.9818,	0.0000,	0.2220
2024-04-09 20:20:52.571570	,151	,0.9859,	0.0000,	0.2393
2024-04-09 20:21:01.759732	,152	,1.0129,	0.0000,	0.2533
2024-04-09 20:21:10.806541	,153	,0.9807,	0.0000,	0.2347
2024-04-09 20:21:19.972803	,154	,0.9373,	0.0000,	0.1967
2024-04-09 20:21:29.129700	,155	,0.9995,	0.0000,	0.2367
2024-04-09 20:21:38.406321	,156	,0.9588,	0.0000,	0.2247
2024-04-09 20:21:47.536333	,157	,0.9678,	0.0000,	0.2180
