Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 12:49:36.302602	,0	,1.1731,	0.0000,	0.2033
2024-04-17 12:49:36.323683	,1	,1.1668,	0.0000,	0.2333
2024-04-17 12:49:36.372158	,2	,1.1590,	0.0000,	0.2400
2024-04-17 12:49:36.382229	,3	,1.1294,	0.0000,	0.1800
2024-04-17 12:49:36.388744	,4	,1.1657,	0.0000,	0.2333
2024-04-17 12:49:36.403551	,5	,1.1396,	0.0000,	0.2433
2024-04-17 12:49:36.419845	,6	,1.1462,	0.0000,	0.2267
2024-04-17 12:49:36.436916	,7	,1.1463,	0.0000,	0.2500
2024-04-17 12:49:36.457128	,8	,1.1877,	0.0000,	0.2133
2024-04-17 12:49:36.469279	,9	,1.1678,	0.0000,	0.2200
2024-04-17 12:49:36.484973	,10	,1.1542,	0.0000,	0.2300
2024-04-17 12:49:36.502562	,11	,1.1645,	0.0000,	0.2233
2024-04-17 12:49:36.520393	,12	,1.1590,	0.0000,	0.1967
2024-04-17 12:49:36.535989	,13	,1.1920,	0.0000,	0.2000
2024-04-17 12:49:36.543272	,14	,1.1436,	0.0000,	0.2067
2024-04-17 12:49:36.551782	,15	,1.1315,	0.0000,	0.1733
2024-04-17 12:49:36.567991	,16	,1.0984,	0.0000,	0.2100
2024-04-17 12:49:36.580675	,17	,1.1106,	0.0000,	0.2133
2024-04-17 12:49:36.589294	,18	,1.0655,	0.0000,	0.1867
2024-04-17 12:49:36.597844	,19	,1.2214,	0.0000,	0.2100
2024-04-17 12:49:36.605851	,20	,1.1875,	0.0000,	0.2100
2024-04-17 12:49:36.613888	,21	,1.1906,	0.0000,	0.2533
2024-04-17 12:49:36.621595	,22	,1.1851,	0.0000,	0.2500
2024-04-17 12:49:36.633757	,23	,1.1963,	0.0000,	0.2567
2024-04-17 12:49:36.642773	,24	,1.0903,	0.0000,	0.2167
2024-04-17 12:49:36.651880	,25	,1.0539,	0.0000,	0.2367
2024-04-17 12:49:36.659911	,26	,1.1866,	0.0000,	0.2100
2024-04-17 12:49:36.666910	,27	,1.2025,	0.0000,	0.2433
2024-04-17 12:49:36.674491	,28	,1.1837,	0.0000,	0.1833
2024-04-17 12:49:36.683017	,29	,1.0994,	0.0000,	0.2167
2024-04-17 12:49:36.975647	,30	,1.1862,	0.0000,	0.2033
2024-04-17 12:49:36.983676	,31	,1.2778,	0.0000,	0.2333
2024-04-17 12:49:36.990760	,32	,1.0607,	0.0000,	0.2400
2024-04-17 12:49:37.001006	,33	,1.1767,	0.0000,	0.1800
2024-04-17 12:49:37.009168	,34	,1.1478,	0.0000,	0.2333
2024-04-17 12:49:37.018110	,35	,1.1720,	0.0000,	0.2433
2024-04-17 12:49:37.028203	,36	,1.1376,	0.0000,	0.2267
2024-04-17 12:49:37.038715	,37	,1.1003,	0.0000,	0.2500
2024-04-17 12:49:37.047875	,38	,1.1107,	0.0000,	0.2133
2024-04-17 12:49:37.057750	,39	,1.2266,	0.0000,	0.2200
2024-04-17 12:49:37.065761	,40	,1.1664,	0.0000,	0.2300
2024-04-17 12:49:37.072461	,41	,1.1137,	0.0000,	0.2233
2024-04-17 12:49:37.082072	,42	,1.1535,	0.0000,	0.1967
2024-04-17 12:49:37.089116	,43	,1.1080,	0.0000,	0.2000
2024-04-17 12:49:37.097143	,44	,1.1305,	0.0000,	0.2067
2024-04-17 12:49:37.104794	,45	,1.1592,	0.0000,	0.1733
2024-04-17 12:49:37.112817	,46	,1.0800,	0.0000,	0.2100
2024-04-17 12:49:37.119433	,47	,1.0632,	0.0000,	0.2133
2024-04-17 12:49:37.129453	,48	,1.1257,	0.0000,	0.1867
2024-04-17 12:49:37.138983	,49	,1.1181,	0.0000,	0.2100
2024-04-17 12:49:37.147897	,50	,1.1823,	0.0000,	0.2100
2024-04-17 12:49:37.154307	,51	,1.0154,	0.0000,	0.2533
2024-04-17 12:49:37.161823	,52	,1.0959,	0.0000,	0.2500
2024-04-17 12:49:37.168834	,53	,1.1364,	0.0000,	0.2567
2024-04-17 12:49:37.176849	,54	,1.1376,	0.0000,	0.2167
2024-04-17 12:49:37.186923	,55	,1.0983,	0.0000,	0.2367
2024-04-17 12:49:37.193435	,56	,1.1797,	0.0000,	0.2100
2024-04-17 12:49:37.200516	,57	,1.1389,	0.0000,	0.2433
2024-04-17 12:49:37.207018	,58	,1.1655,	0.0000,	0.1833
2024-04-17 12:49:37.216238	,59	,1.1535,	0.0000,	0.2167
2024-04-17 12:49:37.382715	,60	,1.1742,	0.0000,	0.2033
2024-04-17 12:49:37.389222	,61	,1.1374,	0.0000,	0.2333
2024-04-17 12:49:37.397736	,62	,1.1822,	0.0000,	0.2400
2024-04-17 12:49:37.404245	,63	,1.1451,	0.0000,	0.1800
2024-04-17 12:49:37.411762	,64	,1.2589,	0.0000,	0.2333
2024-04-17 12:49:37.419783	,65	,1.1785,	0.0000,	0.2433
2024-04-17 12:49:37.427807	,66	,1.1082,	0.0000,	0.2267
2024-04-17 12:49:37.438066	,67	,1.2321,	0.0000,	0.2500
2024-04-17 12:49:37.448169	,68	,1.1594,	0.0000,	0.2133
2024-04-17 12:49:37.454683	,69	,1.0929,	0.0000,	0.2200
2024-04-17 12:49:37.463709	,70	,1.0342,	0.0000,	0.2300
2024-04-17 12:49:37.472731	,71	,1.2168,	0.0000,	0.2233
