Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-03-15 15:37:04.911240	,0	,1.0610,	0.0000,	0.0000
2024-03-15 15:37:04.916996	,1	,1.2457,	0.0000,	0.0000
2024-03-15 15:37:04.922401	,2	,1.1075,	0.0000,	0.0000
2024-03-15 15:37:04.927570	,3	,0.9787,	0.0000,	0.0000
2024-03-15 15:37:04.934083	,4	,1.3826,	0.0000,	0.0000
2024-03-15 15:37:04.939616	,5	,1.3793,	0.0000,	0.0000
2024-03-15 15:37:04.946113	,6	,1.1716,	0.0000,	0.0000
2024-03-15 15:37:04.950913	,7	,1.1973,	0.0000,	0.0000
2024-03-15 15:37:04.956022	,8	,1.1775,	0.0000,	0.0000
2024-03-15 15:37:04.962154	,9	,1.3051,	0.0000,	0.0000
2024-03-15 15:37:04.967558	,10	,1.1679,	0.0000,	0.0000
2024-03-15 15:37:04.972586	,11	,1.3290,	0.0000,	0.0000
2024-03-15 15:37:04.977735	,12	,1.1555,	0.0000,	0.0000
2024-03-15 15:37:04.983231	,13	,0.9870,	0.0000,	0.0000
2024-03-15 15:37:04.988405	,14	,1.3451,	0.0000,	0.0000
2024-03-15 15:37:04.995576	,15	,1.1138,	0.0000,	0.0000
2024-03-15 15:37:05.000850	,16	,0.8079,	0.0000,	0.0000
2024-03-15 15:37:05.006319	,17	,1.0169,	0.0000,	0.0000
2024-03-15 15:37:05.011317	,18	,1.0051,	0.0000,	0.0000
2024-03-15 15:37:05.017438	,19	,1.1570,	0.0000,	0.0000
2024-03-15 15:37:05.024461	,20	,0.9343,	0.0000,	0.0000
2024-03-15 15:37:05.030695	,21	,0.9498,	0.0000,	0.0000
2024-03-15 15:37:05.036399	,22	,1.0309,	0.0000,	0.0000
2024-03-15 15:37:05.041823	,23	,0.8119,	0.0000,	0.0000
2024-03-15 15:37:05.048423	,24	,1.0935,	0.0000,	0.0000
2024-03-15 15:37:05.054844	,25	,1.0285,	0.0000,	0.0000
2024-03-15 15:37:05.061629	,26	,0.9618,	0.0000,	0.0000
2024-03-15 15:37:05.068520	,27	,1.2323,	0.0000,	0.0000
2024-03-15 15:37:05.075691	,28	,1.0067,	0.0000,	0.0000
2024-03-15 15:37:05.082125	,29	,0.9192,	0.0000,	0.0000
2024-03-15 15:37:05.088386	,30	,1.0933,	0.0000,	0.0000
2024-03-15 15:37:05.095758	,31	,1.0508,	0.0000,	0.0000
2024-03-15 15:37:05.102589	,32	,1.0187,	0.0000,	0.0000
2024-03-15 15:37:05.110468	,33	,0.9507,	0.0000,	0.0000
2024-03-15 15:37:05.117429	,34	,0.8916,	0.0000,	0.0000
2024-03-15 15:37:05.124687	,35	,0.9169,	0.0000,	0.0000
2024-03-15 15:37:05.131450	,36	,1.0513,	0.0000,	0.0000
2024-03-15 15:37:05.138396	,37	,1.0688,	0.0000,	0.0000
2024-03-15 15:37:05.146188	,38	,0.9879,	0.0000,	0.0000
2024-03-15 15:37:05.154684	,39	,0.8386,	0.0000,	0.0000
2024-03-15 15:37:05.163575	,40	,1.1779,	0.0000,	0.0000
2024-03-15 15:37:05.170860	,41	,1.3133,	0.0000,	0.0000
2024-03-15 15:37:05.178301	,42	,0.9821,	0.0000,	0.0000
2024-03-15 15:37:05.184373	,43	,1.1489,	0.0000,	0.0000
2024-03-15 15:37:05.192864	,44	,0.9120,	0.0000,	0.0000
2024-03-15 15:37:05.199905	,45	,0.9834,	0.0000,	0.0000
2024-03-15 15:37:05.206647	,46	,0.8713,	0.0000,	0.0000
2024-03-15 15:37:05.212698	,47	,1.1871,	0.0000,	0.0000
2024-03-15 15:37:05.218663	,48	,1.0484,	0.0000,	0.0000
2024-03-15 15:37:05.224683	,49	,1.0025,	0.0000,	0.0000
2024-03-15 15:37:05.230804	,50	,0.9290,	0.0000,	0.0000
2024-03-15 15:37:05.237127	,51	,0.9381,	0.0000,	0.0000
2024-03-15 15:37:05.242802	,52	,1.1129,	0.0000,	0.0000
2024-03-15 15:37:05.248617	,53	,1.0183,	0.0000,	0.0000
2024-03-15 15:37:05.254548	,54	,1.0430,	0.0000,	0.0000
2024-03-15 15:37:05.260805	,55	,1.0576,	0.0000,	0.0000
2024-03-15 15:37:05.267442	,56	,0.9129,	0.0000,	0.0000
2024-03-15 15:37:05.274472	,57	,1.0766,	0.0000,	0.0000
2024-03-15 15:37:05.280877	,58	,1.1259,	0.0000,	0.0000
2024-03-15 15:37:05.287044	,59	,0.8350,	0.0000,	0.0000
2024-03-15 15:37:05.294410	,60	,0.9464,	0.0000,	0.0000
2024-03-15 15:37:05.300406	,61	,0.9799,	0.0000,	0.0000
2024-03-15 15:37:05.306502	,62	,0.8575,	0.0000,	0.0000
2024-03-15 15:37:05.312457	,63	,1.0693,	0.0000,	0.0000
2024-03-15 15:37:05.318517	,64	,1.0474,	0.0000,	0.0000
2024-03-15 15:37:05.325049	,65	,1.2406,	0.0000,	0.0000
2024-03-15 15:37:05.331122	,66	,0.9241,	0.0000,	0.0000
2024-03-15 15:37:05.336811	,67	,1.0038,	0.0000,	0.0000
2024-03-15 15:37:05.342550	,68	,0.8558,	0.0000,	0.0000
2024-03-15 15:37:05.347598	,69	,1.2642,	0.0000,	0.0000
2024-03-15 15:37:05.353447	,70	,0.8036,	0.0000,	0.0000
2024-03-15 15:37:05.359227	,71	,0.8430,	0.0000,	0.0000
2024-03-15 15:37:05.364991	,72	,0.9682,	0.0000,	0.0000
2024-03-15 15:37:05.371224	,73	,1.1187,	0.0000,	0.0000
2024-03-15 15:37:05.377818	,74	,0.9743,	0.0000,	0.0000
2024-03-15 15:37:05.383531	,75	,0.8282,	0.0000,	0.0000
2024-03-15 15:37:05.388647	,76	,1.0968,	0.0000,	0.0000
2024-03-15 15:37:05.394955	,77	,0.8130,	0.0000,	0.0000
2024-03-15 15:37:05.400183	,78	,1.2294,	0.0000,	0.0000
2024-03-15 15:37:05.405676	,79	,1.0257,	0.0000,	0.0000
2024-03-15 15:37:05.412146	,80	,1.0133,	0.0000,	0.0000
2024-03-15 15:37:05.417261	,81	,1.0499,	0.0000,	0.0000
2024-03-15 15:37:05.423131	,82	,0.9180,	0.0000,	0.0000
2024-03-15 15:37:05.428974	,83	,1.1309,	0.0000,	0.0000
2024-03-15 15:37:05.434917	,84	,1.0408,	0.0000,	0.0000
2024-03-15 15:37:05.440182	,85	,1.0923,	0.0000,	0.0000
2024-03-15 15:37:05.445467	,86	,0.9220,	0.0000,	0.0000
2024-03-15 15:37:05.451733	,87	,0.9136,	0.0000,	0.0000
2024-03-15 15:37:05.456836	,88	,1.0881,	0.0000,	0.0000
2024-03-15 15:37:05.462041	,89	,0.9757,	0.0000,	0.0000
2024-03-15 15:37:05.467584	,90	,1.0754,	0.0000,	0.0000
2024-03-15 15:37:05.473522	,91	,0.9714,	0.0000,	0.0000
2024-03-15 15:37:05.480480	,92	,0.9886,	0.0000,	0.0000
2024-03-15 15:37:05.485746	,93	,0.9373,	0.0000,	0.0000
2024-03-15 15:37:05.492651	,94	,0.8799,	0.0000,	0.0000
2024-03-15 15:37:05.498857	,95	,1.1982,	0.0000,	0.0000
2024-03-15 15:37:05.503956	,96	,0.9266,	0.0000,	0.0000
2024-03-15 15:37:05.509804	,97	,0.8421,	0.0000,	0.0000
2024-03-15 15:37:05.514834	,98	,1.0430,	0.0000,	0.0000
2024-03-15 15:37:05.519779	,99	,1.0154,	0.0000,	0.0000
2024-03-15 15:37:05.526573	,100	,0.9784,	0.0000,	0.0000
2024-03-15 15:37:05.531697	,101	,0.8006,	0.0000,	0.0000
2024-03-15 15:37:05.537346	,102	,0.9442,	0.0000,	0.0000
2024-03-15 15:37:05.542371	,103	,0.9265,	0.0000,	0.0000
2024-03-15 15:37:05.547813	,104	,1.0387,	0.0000,	0.0000
2024-03-15 15:37:05.552937	,105	,0.9026,	0.0000,	0.0000
2024-03-15 15:37:05.557925	,106	,0.8817,	0.0000,	0.0000
2024-03-15 15:37:05.564340	,107	,0.9170,	0.0000,	0.0000
2024-03-15 15:37:05.568739	,108	,1.0797,	0.0000,	0.0000
2024-03-15 15:37:05.575206	,109	,0.8397,	0.0000,	0.0000
2024-03-15 15:37:05.581001	,110	,0.9943,	0.0000,	0.0000
2024-03-15 15:37:05.586195	,111	,0.8423,	0.0000,	0.0000
2024-03-15 15:37:05.590934	,112	,0.8880,	0.0000,	0.0000
2024-03-15 15:37:05.596071	,113	,1.0822,	0.0000,	0.0000
2024-03-15 15:37:05.602809	,114	,0.9146,	0.0000,	0.0000
2024-03-15 15:37:05.610062	,115	,1.1363,	0.0000,	0.0000
2024-03-15 15:37:05.615029	,116	,1.0242,	0.0000,	0.0000
2024-03-15 15:37:05.620517	,117	,0.7896,	0.0000,	0.0000
2024-03-15 15:37:05.625447	,118	,0.9562,	0.0000,	0.0000
2024-03-15 15:37:05.629830	,119	,0.9641,	0.0000,	0.0000
2024-03-15 15:37:05.634870	,120	,1.1746,	0.0000,	0.0000
2024-03-15 15:37:05.639880	,121	,1.1345,	0.0000,	0.0000
2024-03-15 15:37:05.645826	,122	,0.8146,	0.0000,	0.0000
2024-03-15 15:37:05.651735	,123	,0.9434,	0.0000,	0.0000
2024-03-15 15:37:05.657397	,124	,0.7716,	0.0000,	0.0000
2024-03-15 15:37:05.663896	,125	,0.9774,	0.0000,	0.0000
2024-03-15 15:37:05.668536	,126	,0.9863,	0.0000,	0.0000
2024-03-15 15:37:05.675302	,127	,0.9650,	0.0000,	0.0000
2024-03-15 15:37:05.680699	,128	,1.2141,	0.0000,	0.0000
2024-03-15 15:37:05.685567	,129	,0.9169,	0.0000,	0.0000
2024-03-15 15:37:05.690759	,130	,0.8666,	0.0000,	0.0000
2024-03-15 15:37:05.695622	,131	,1.0078,	0.0000,	0.0000
2024-03-15 15:37:05.700707	,132	,1.0508,	0.0000,	0.0000
2024-03-15 15:37:05.707119	,133	,1.0071,	0.0000,	0.0000
2024-03-15 15:37:05.712551	,134	,0.8041,	0.0000,	0.0000
2024-03-15 15:37:05.717700	,135	,0.8881,	0.0000,	0.0000
2024-03-15 15:37:05.724279	,136	,0.9781,	0.0000,	0.0000
2024-03-15 15:37:05.729417	,137	,0.9287,	0.0000,	0.0000
2024-03-15 15:37:05.734943	,138	,0.9235,	0.0000,	0.0000
2024-03-15 15:37:05.740508	,139	,0.9362,	0.0000,	0.0000
2024-03-15 15:37:05.747056	,140	,0.9071,	0.0000,	0.0000
2024-03-15 15:37:05.754785	,141	,1.2256,	0.0000,	0.0000
2024-03-15 15:37:05.763060	,142	,0.7411,	0.0000,	0.0000
2024-03-15 15:37:05.770250	,143	,1.0365,	0.0000,	0.0000
2024-03-15 15:37:05.778552	,144	,0.9061,	0.0000,	0.0000
2024-03-15 15:37:05.786591	,145	,1.0645,	0.0000,	0.0000
2024-03-15 15:37:05.794403	,146	,1.0509,	0.0000,	0.0000
2024-03-15 15:37:05.801837	,147	,0.9751,	0.0000,	0.0000
2024-03-15 15:37:05.808440	,148	,0.7437,	0.0000,	0.0000
2024-03-15 15:37:05.816143	,149	,1.0505,	0.0000,	0.0000
2024-03-15 15:37:05.822879	,150	,0.8254,	0.0000,	0.0000
2024-03-15 15:37:05.829936	,151	,1.1913,	0.0000,	0.0000
2024-03-15 15:37:05.836825	,152	,1.1227,	0.0000,	0.0000
2024-03-15 15:37:05.843179	,153	,0.8521,	0.0000,	0.0000
2024-03-15 15:37:05.849421	,154	,0.9747,	0.0000,	0.0000
2024-03-15 15:37:05.855002	,155	,0.8984,	0.0000,	0.0000
2024-03-15 15:37:05.859898	,156	,0.8986,	0.0000,	0.0000
2024-03-15 15:37:05.866605	,157	,0.7522,	0.0000,	0.0000
2024-03-15 15:37:05.871478	,158	,1.0652,	0.0000,	0.0000
2024-03-15 15:37:05.878266	,159	,0.8858,	0.0000,	0.0000
2024-03-15 15:37:05.883952	,160	,0.9546,	0.0000,	0.0000
2024-03-15 15:37:05.890208	,161	,0.9488,	0.0000,	0.0000
2024-03-15 15:37:05.895568	,162	,0.9467,	0.0000,	0.0000
2024-03-15 15:37:05.901484	,163	,1.0375,	0.0000,	0.0000
2024-03-15 15:37:05.906580	,164	,1.2256,	0.0000,	0.0000
2024-03-15 15:37:05.915110	,165	,0.7585,	0.0000,	0.0000
2024-03-15 15:37:05.920981	,166	,0.8363,	0.0000,	0.0000
2024-03-15 15:37:05.928076	,167	,0.9485,	0.0000,	0.0000
2024-03-15 15:37:05.933568	,168	,0.9808,	0.0000,	0.0000
2024-03-15 15:37:05.939440	,169	,1.0418,	0.0000,	0.0000
2024-03-15 15:37:05.944420	,170	,0.9828,	0.0000,	0.0000
2024-03-15 15:37:05.949237	,171	,0.9439,	0.0000,	0.0000
2024-03-15 15:37:05.954847	,172	,1.0754,	0.0000,	0.0000
2024-03-15 15:37:05.960524	,173	,1.0376,	0.0000,	0.0000
2024-03-15 15:37:05.965472	,174	,0.9463,	0.0000,	0.0000
2024-03-15 15:37:05.970522	,175	,0.9122,	0.0000,	0.0000
2024-03-15 15:37:05.977239	,176	,0.7727,	0.0000,	0.0000
2024-03-15 15:37:05.983490	,177	,0.8902,	0.0000,	0.0000
2024-03-15 15:37:05.988497	,178	,0.8466,	0.0000,	0.0000
2024-03-15 15:37:05.994477	,179	,1.0603,	0.0000,	0.0000
2024-03-15 15:37:06.000189	,180	,0.8658,	0.0000,	0.0000
2024-03-15 15:37:06.005677	,181	,1.1575,	0.0000,	0.0000
2024-03-15 15:37:06.012692	,182	,0.9906,	0.0000,	0.0000
2024-03-15 15:37:06.018283	,183	,0.8939,	0.0000,	0.0000
2024-03-15 15:37:06.024163	,184	,1.0301,	0.0000,	0.0000
2024-03-15 15:37:06.029984	,185	,0.9181,	0.0000,	0.0000
2024-03-15 15:37:06.035128	,186	,0.7998,	0.0000,	0.0000
2024-03-15 15:37:06.042173	,187	,1.1906,	0.0000,	0.0000
2024-03-15 15:37:06.047933	,188	,0.8095,	0.0000,	0.0000
2024-03-15 15:37:06.054467	,189	,0.9516,	0.0000,	0.0000
2024-03-15 15:37:06.059507	,190	,1.0414,	0.0000,	0.0000
2024-03-15 15:37:06.064854	,191	,0.9050,	0.0000,	0.0000
2024-03-15 15:37:06.070198	,192	,0.8933,	0.0000,	0.0000
2024-03-15 15:37:06.077128	,193	,1.0733,	0.0000,	0.0000
2024-03-15 15:37:06.083045	,194	,1.0018,	0.0000,	0.0000
2024-03-15 15:37:06.088845	,195	,0.8926,	0.0000,	0.0000
2024-03-15 15:37:06.094714	,196	,0.9058,	0.0000,	0.0000
2024-03-15 15:37:06.100761	,197	,0.9750,	0.0000,	0.0000
2024-03-15 15:37:06.106928	,198	,1.1009,	0.0000,	0.0000
2024-03-15 15:37:06.112860	,199	,0.9312,	0.0000,	0.0000
2024-03-15 15:37:06.117773	,200	,0.9960,	0.0000,	0.0000
2024-03-15 15:37:06.124162	,201	,1.0210,	0.0000,	0.0000
2024-03-15 15:37:06.130300	,202	,1.0427,	0.0000,	0.0000
2024-03-15 15:37:06.135965	,203	,0.9071,	0.0000,	0.0000
2024-03-15 15:37:06.141579	,204	,0.9613,	0.0000,	0.0000
2024-03-15 15:37:06.146915	,205	,0.9012,	0.0000,	0.0000
2024-03-15 15:37:06.151840	,206	,0.7504,	0.0000,	0.0000
2024-03-15 15:37:06.157720	,207	,0.9944,	0.0000,	0.0000
2024-03-15 15:37:06.162608	,208	,0.8978,	0.0000,	0.0000
2024-03-15 15:37:06.167789	,209	,1.1077,	0.0000,	0.0000
2024-03-15 15:37:06.172744	,210	,0.7869,	0.0000,	0.0000
2024-03-15 15:37:06.178111	,211	,0.7872,	0.0000,	0.0000
2024-03-15 15:37:06.183749	,212	,1.2515,	0.0000,	0.0000
2024-03-15 15:37:06.189278	,213	,0.8106,	0.0000,	0.0000
2024-03-15 15:37:06.195017	,214	,0.9205,	0.0000,	0.0000
2024-03-15 15:37:06.200389	,215	,1.0047,	0.0000,	0.0000
2024-03-15 15:37:06.205707	,216	,0.9370,	0.0000,	0.0000
2024-03-15 15:37:06.211974	,217	,1.0306,	0.0000,	0.0000
2024-03-15 15:37:06.217052	,218	,0.9866,	0.0000,	0.0000
2024-03-15 15:37:06.222043	,219	,0.9714,	0.0000,	0.0000
2024-03-15 15:37:06.228921	,220	,0.8683,	0.0000,	0.0000
2024-03-15 15:37:06.235450	,221	,1.0136,	0.0000,	0.0000
2024-03-15 15:37:06.242291	,222	,0.7364,	0.0000,	0.0000
2024-03-15 15:37:06.248264	,223	,1.0908,	0.0000,	0.0000
2024-03-15 15:37:06.253265	,224	,0.9269,	0.0000,	0.0000
2024-03-15 15:37:06.259012	,225	,1.0995,	0.0000,	0.0000
2024-03-15 15:37:06.264094	,226	,0.9379,	0.0000,	0.0000
2024-03-15 15:37:06.269908	,227	,0.8678,	0.0000,	0.0000
2024-03-15 15:37:06.275199	,228	,1.0625,	0.0000,	0.0000
2024-03-15 15:37:06.281672	,229	,0.9702,	0.0000,	0.0000
2024-03-15 15:37:06.286662	,230	,0.8454,	0.0000,	0.0000
2024-03-15 15:37:06.291972	,231	,1.2122,	0.0000,	0.0000
2024-03-15 15:37:06.297617	,232	,0.9609,	0.0000,	0.0000
2024-03-15 15:37:06.302693	,233	,0.9331,	0.0000,	0.0000
2024-03-15 15:37:06.308086	,234	,0.7856,	0.0000,	0.0000
2024-03-15 15:37:06.313605	,235	,0.9291,	0.0000,	0.0000
2024-03-15 15:37:06.318646	,236	,1.0061,	0.0000,	0.0000
2024-03-15 15:37:06.324580	,237	,0.9816,	0.0000,	0.0000
2024-03-15 15:37:06.330467	,238	,1.0339,	0.0000,	0.0000
2024-03-15 15:37:06.336298	,239	,1.0220,	0.0000,	0.0000
2024-03-15 15:37:06.342151	,240	,0.8050,	0.0000,	0.0000
2024-03-15 15:37:06.347861	,241	,0.8912,	0.0000,	0.0000
2024-03-15 15:37:06.352885	,242	,0.8098,	0.0000,	0.0000
2024-03-15 15:37:06.358428	,243	,1.0431,	0.0000,	0.0000
2024-03-15 15:37:06.364669	,244	,0.9715,	0.0000,	0.0000
2024-03-15 15:37:06.369825	,245	,1.1422,	0.0000,	0.0000
2024-03-15 15:37:06.376537	,246	,0.7470,	0.0000,	0.0000
2024-03-15 15:37:06.381463	,247	,0.8746,	0.0000,	0.0000
2024-03-15 15:37:06.386998	,248	,0.8877,	0.0000,	0.0000
2024-03-15 15:37:06.392166	,249	,0.9352,	0.0000,	0.0000
2024-03-15 15:37:06.397757	,250	,1.0902,	0.0000,	0.0000
2024-03-15 15:37:06.402828	,251	,1.0102,	0.0000,	0.0000
2024-03-15 15:37:06.409475	,252	,0.9301,	0.0000,	0.0000
2024-03-15 15:37:06.414816	,253	,1.0461,	0.0000,	0.0000
2024-03-15 15:37:06.419698	,254	,1.0402,	0.0000,	0.0000
2024-03-15 15:37:06.427224	,255	,1.2146,	0.0000,	0.0000
2024-03-15 15:37:06.433033	,256	,0.8986,	0.0000,	0.0000
2024-03-15 15:37:06.438322	,257	,0.9380,	0.0000,	0.0000
2024-03-15 15:37:06.443803	,258	,1.0788,	0.0000,	0.0000
2024-03-15 15:37:06.448917	,259	,0.9154,	0.0000,	0.0000
2024-03-15 15:37:06.454519	,260	,0.8654,	0.0000,	0.0000
2024-03-15 15:37:06.459924	,261	,1.0504,	0.0000,	0.0000
2024-03-15 15:37:06.465621	,262	,0.8884,	0.0000,	0.0000
2024-03-15 15:37:06.470840	,263	,1.0453,	0.0000,	0.0000
2024-03-15 15:37:06.476443	,264	,0.8668,	0.0000,	0.0000
2024-03-15 15:37:06.482146	,265	,1.0004,	0.0000,	0.0000
2024-03-15 15:37:06.487058	,266	,0.9694,	0.0000,	0.0000
2024-03-15 15:37:06.492345	,267	,0.7836,	0.0000,	0.0000
2024-03-15 15:37:06.497522	,268	,0.7584,	0.0000,	0.0000
2024-03-15 15:37:06.503186	,269	,1.0768,	0.0000,	0.0000
2024-03-15 15:37:06.510345	,270	,1.0912,	0.0000,	0.0000
2024-03-15 15:37:06.516564	,271	,0.8751,	0.0000,	0.0000
2024-03-15 15:37:06.522304	,272	,0.9695,	0.0000,	0.0000
2024-03-15 15:37:06.528291	,273	,1.0228,	0.0000,	0.0000
2024-03-15 15:37:06.535523	,274	,0.8879,	0.0000,	0.0000
2024-03-15 15:37:06.542190	,275	,0.9233,	0.0000,	0.0000
2024-03-15 15:37:06.546854	,276	,0.8914,	0.0000,	0.0000
2024-03-15 15:37:06.552172	,277	,0.8131,	0.0000,	0.0000
2024-03-15 15:37:06.556828	,278	,0.7423,	0.0000,	0.0000
2024-03-15 15:37:06.561240	,279	,1.2042,	0.0000,	0.0000
2024-03-15 15:37:24.656958	,280	,0.8241,	0.0000,	0.0000
2024-03-15 15:37:24.694858	,281	,1.0614,	0.0000,	0.0000
2024-03-15 15:37:24.701014	,282	,0.9540,	0.0000,	0.0000
2024-03-15 15:37:24.705894	,283	,0.7864,	0.0000,	0.0000
2024-03-15 15:37:24.711348	,284	,0.9188,	0.0000,	0.0000
2024-03-15 15:37:24.716561	,285	,0.8394,	0.0000,	0.0000
2024-03-15 15:37:24.721959	,286	,0.8133,	0.0000,	0.0000
2024-03-15 15:37:24.726749	,287	,0.8740,	0.0000,	0.0000
2024-03-15 15:37:24.730801	,288	,1.0703,	0.0000,	0.0000
2024-03-15 15:37:24.736969	,289	,0.7963,	0.0000,	0.0000
2024-03-15 15:37:24.741862	,290	,0.9508,	0.0000,	0.0000
2024-03-15 15:37:24.747022	,291	,0.9077,	0.0000,	0.0000
2024-03-15 15:37:24.752781	,292	,0.9565,	0.0000,	0.0000
2024-03-15 15:37:24.758560	,293	,0.9246,	0.0000,	0.0000
2024-03-15 15:37:24.763986	,294	,0.8146,	0.0000,	0.0000
2024-03-15 15:37:24.769148	,295	,1.0519,	0.0000,	0.0000
2024-03-15 15:37:24.774725	,296	,0.7117,	0.0000,	0.0000
2024-03-15 15:37:24.779043	,297	,0.8952,	0.0000,	0.0000
2024-03-15 15:37:24.783102	,298	,1.1134,	0.0000,	0.0000
2024-03-15 15:37:24.787935	,299	,0.7123,	0.0000,	0.0000
2024-03-15 15:37:24.792368	,300	,1.1909,	0.0000,	0.0000
2024-03-15 15:37:24.797188	,301	,0.9046,	0.0000,	0.0000
2024-03-15 15:37:24.801123	,302	,0.8995,	0.0000,	0.0000
2024-03-15 15:37:24.805041	,303	,0.8619,	0.0000,	0.0000
2024-03-15 15:37:24.811409	,304	,1.3845,	0.0000,	0.0000
2024-03-15 15:37:24.816514	,305	,0.9163,	0.0000,	0.0000
2024-03-15 15:37:24.820467	,306	,0.8277,	0.0000,	0.0000
2024-03-15 15:37:24.825206	,307	,0.8389,	0.0000,	0.0000
2024-03-15 15:37:24.829627	,308	,1.0270,	0.0000,	0.0000
2024-03-15 15:37:24.833615	,309	,1.0010,	0.0000,	0.0000
2024-03-15 15:37:24.839198	,310	,1.1484,	0.0000,	0.0000
2024-03-15 15:37:24.845199	,311	,1.0546,	0.0000,	0.0000
2024-03-15 15:37:24.852145	,312	,0.8923,	0.0000,	0.0000
2024-03-15 15:37:24.856684	,313	,0.9539,	0.0000,	0.0000
2024-03-15 15:37:24.862484	,314	,1.0544,	0.0000,	0.0000
2024-03-15 15:37:24.866998	,315	,0.9968,	0.0000,	0.0000
2024-03-15 15:37:24.871320	,316	,0.8488,	0.0000,	0.0000
2024-03-15 15:37:24.876417	,317	,0.9549,	0.0000,	0.0000
2024-03-15 15:37:24.881111	,318	,0.8781,	0.0000,	0.0000
2024-03-15 15:37:24.885978	,319	,0.9904,	0.0000,	0.0000
