Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 22:06:34.201633	,85	,1.0865,	0.0000,	0.3013
2024-04-17 22:06:34.212639	,86	,1.0764,	0.0000,	0.3220
2024-04-17 22:06:34.229155	,87	,1.0986,	0.0000,	0.3327
2024-04-17 22:06:34.241155	,88	,1.1720,	0.0000,	0.2987
2024-04-17 22:06:34.254156	,89	,1.0748,	0.0000,	0.3280
2024-04-17 22:06:34.266157	,90	,1.1138,	0.0000,	0.3440
2024-04-17 22:06:34.282155	,91	,1.1252,	0.0000,	0.3187
2024-04-17 22:06:34.305009	,92	,1.0759,	0.0000,	0.3333
2024-04-17 22:06:34.319015	,93	,1.1025,	0.0000,	0.3040
2024-04-17 22:06:34.335537	,94	,1.0771,	0.0000,	0.3020
2024-04-17 22:06:34.347538	,95	,1.1282,	0.0000,	0.3327
2024-04-17 22:06:34.361253	,96	,1.1274,	0.0000,	0.3193
2024-04-17 22:06:34.370253	,97	,1.1386,	0.0000,	0.3333
2024-04-17 22:06:34.383729	,98	,1.0936,	0.0000,	0.3080
2024-04-17 22:06:34.398707	,99	,1.0804,	0.0000,	0.3100
2024-04-17 22:06:34.411572	,100	,1.1027,	0.0000,	0.3213
2024-04-17 22:06:34.423575	,101	,1.0234,	0.0000,	0.3007
2024-04-17 22:06:34.434083	,102	,1.1206,	0.0000,	0.3160
2024-04-17 22:06:34.443085	,103	,1.0959,	0.0000,	0.3113
2024-04-17 22:06:34.451087	,104	,1.0652,	0.0000,	0.3200
2024-04-17 22:06:34.460084	,105	,1.0952,	0.0000,	0.3300
2024-04-17 22:06:34.468086	,106	,1.0933,	0.0000,	0.3227
2024-04-17 22:06:34.476085	,107	,1.1559,	0.0000,	0.3273
2024-04-17 22:06:34.482085	,108	,1.0702,	0.0000,	0.3353
2024-04-17 22:06:34.490084	,109	,1.1401,	0.0000,	0.3180
2024-04-17 22:06:34.496084	,110	,1.1143,	0.0000,	0.3353
2024-04-17 22:06:34.504335	,111	,1.1590,	0.0000,	0.3180
2024-04-17 22:06:34.513862	,112	,1.1224,	0.0000,	0.3147
2024-04-17 22:06:34.523864	,113	,1.0584,	0.0000,	0.2993
2024-04-17 22:06:34.532963	,114	,1.1252,	0.0000,	0.3073
2024-04-17 22:06:34.541960	,115	,1.1023,	0.0000,	0.3013
2024-04-17 22:06:34.552961	,116	,1.1093,	0.0000,	0.3220
2024-04-17 22:06:34.561961	,117	,1.0935,	0.0000,	0.3327
2024-04-17 22:06:34.570961	,118	,1.1055,	0.0000,	0.2987
2024-04-17 22:06:34.577963	,119	,1.1828,	0.0000,	0.3280
2024-04-17 22:06:34.583960	,120	,1.1200,	0.0000,	0.3440
2024-04-17 22:06:34.591967	,121	,1.0650,	0.0000,	0.3187
