Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-05 18:00:11.246331	,0	,1.6169,	0.0000,	0.0078
2024-04-05 18:00:28.299225	,1	,1.5756,	0.0000,	0.0078
2024-04-05 18:00:45.476848	,2	,1.5995,	0.0000,	0.0078
2024-04-05 18:01:02.405894	,3	,1.7359,	0.0000,	0.0078
2024-04-05 18:01:20.255152	,4	,1.5573,	0.0000,	0.0078
2024-04-05 18:01:38.171267	,5	,1.5708,	0.0000,	0.0078
2024-04-05 18:01:55.225281	,6	,1.5798,	0.0000,	0.0078
2024-04-05 18:02:11.983204	,7	,1.5265,	0.0000,	0.0078
2024-04-05 18:02:30.461316	,8	,1.3976,	0.0000,	0.0078
2024-04-05 18:02:48.572926	,9	,1.4802,	0.0000,	0.0078
2024-04-05 18:03:06.530193	,10	,1.4816,	0.0000,	0.0078
2024-04-05 18:03:23.959653	,11	,1.5192,	0.0000,	0.0078
2024-04-05 18:03:41.429868	,12	,1.4052,	0.0000,	0.0078
2024-04-05 18:03:58.949878	,13	,1.3586,	0.0000,	0.0078
2024-04-05 18:04:16.116669	,14	,1.4317,	0.0000,	0.0078
2024-04-05 18:04:33.342152	,15	,1.3767,	0.0000,	0.0078
2024-04-05 18:04:53.612571	,16	,1.3794,	0.0000,	0.0078
2024-04-05 18:05:11.379212	,17	,1.3809,	0.0000,	0.0078
2024-04-05 18:05:28.964850	,18	,1.3556,	0.0000,	0.0078
2024-04-05 18:05:46.247794	,19	,1.3902,	0.0000,	0.0078
2024-04-05 18:06:03.689894	,20	,1.3110,	0.0000,	0.0078
2024-04-05 18:06:21.466291	,21	,1.3126,	0.0000,	0.0078
2024-04-05 18:06:40.125991	,22	,1.2575,	0.0000,	0.0078
2024-04-05 18:06:58.936696	,23	,1.3533,	0.0000,	0.0078
2024-04-05 18:07:16.413868	,24	,1.2108,	0.0000,	0.0078
2024-04-05 18:07:34.264006	,25	,1.2761,	0.0000,	0.0078
2024-04-05 18:07:51.925404	,26	,1.2772,	0.0000,	0.0078
2024-04-05 18:08:09.358068	,27	,1.3316,	0.0000,	0.0078
2024-04-05 18:08:26.446010	,28	,1.3187,	0.0000,	0.0078
2024-04-05 18:08:44.348986	,29	,1.2647,	0.0000,	0.0078
2024-04-05 18:09:04.392510	,30	,1.1844,	0.0000,	0.0078
2024-04-05 18:09:21.283221	,31	,1.1991,	0.0000,	0.0078
2024-04-05 18:09:36.917174	,32	,1.2402,	0.0000,	0.0078
2024-04-05 18:09:51.873487	,33	,1.2332,	0.0000,	0.0078
2024-04-05 18:10:06.680000	,34	,1.2234,	0.0000,	0.0078
2024-04-05 18:10:21.305427	,35	,1.2199,	0.0000,	0.0078
2024-04-05 18:10:37.596453	,36	,1.1978,	0.0000,	0.0078
2024-04-05 18:10:53.609379	,37	,1.1534,	0.0000,	0.0078
2024-04-05 18:11:09.891431	,38	,1.1958,	0.0000,	0.0078
2024-04-05 18:11:25.997523	,39	,1.2557,	0.0000,	0.0078
2024-04-05 18:11:41.938284	,40	,1.1563,	0.0000,	0.0078
2024-04-05 18:11:57.890950	,41	,1.1702,	0.0000,	0.0078
2024-04-05 18:12:13.822388	,42	,1.1585,	0.0000,	0.0078
2024-04-05 18:12:29.835411	,43	,1.1579,	0.0000,	0.0078
2024-04-05 18:12:45.824222	,44	,1.1822,	0.0000,	0.0078
2024-04-05 18:13:01.844540	,45	,1.1605,	0.0000,	0.0078
2024-04-05 18:13:17.859193	,46	,1.1722,	0.0000,	0.0078
2024-04-05 18:13:33.759362	,47	,1.1793,	0.0000,	0.0078
2024-04-05 18:13:49.142830	,48	,1.2085,	0.0000,	0.0078
2024-04-05 18:14:03.829660	,49	,1.1250,	0.0000,	0.0078
2024-04-05 18:14:18.434305	,50	,1.1226,	0.0000,	0.0078
2024-04-05 18:14:33.071313	,51	,1.1532,	0.0000,	0.0078
2024-04-05 18:14:47.591551	,52	,1.1333,	0.0000,	0.0078
2024-04-05 18:15:02.087410	,53	,1.0661,	0.0000,	0.0078
2024-04-05 18:15:16.758831	,54	,1.1147,	0.0000,	0.0078
2024-04-05 18:15:31.204963	,55	,1.1960,	0.0000,	0.0078
2024-04-05 18:15:45.650681	,56	,1.1498,	0.0000,	0.0078
2024-04-05 18:16:00.072495	,57	,1.1745,	0.0000,	0.0078
2024-04-05 18:16:14.468735	,58	,1.0891,	0.0000,	0.0078
2024-04-05 18:16:28.975697	,59	,1.1083,	0.0000,	0.0078
2024-04-05 18:16:43.303511	,60	,1.1646,	0.0000,	0.0078
2024-04-05 18:16:57.743634	,61	,1.0401,	0.0000,	0.0078
2024-04-05 18:17:12.215253	,62	,1.0983,	0.0000,	0.0078
2024-04-05 18:17:26.636276	,63	,1.1350,	0.0000,	0.0078
2024-04-05 18:17:41.081345	,64	,1.0616,	0.0000,	0.0078
2024-04-05 18:17:55.536335	,65	,1.0516,	0.0000,	0.0078
2024-04-05 18:18:10.016073	,66	,1.1073,	0.0000,	0.0078
2024-04-05 18:18:24.464544	,67	,1.1208,	0.0000,	0.0078
2024-04-05 18:18:38.971920	,68	,1.0733,	0.0000,	0.0078
2024-04-05 18:18:53.417100	,69	,1.0569,	0.0000,	0.0078
2024-04-05 18:19:07.989774	,70	,1.0631,	0.0000,	0.0078
2024-04-05 18:19:22.559248	,71	,1.0317,	0.0000,	0.0078
2024-04-05 18:19:37.129712	,72	,1.0332,	0.0000,	0.0078
2024-04-05 18:19:51.583851	,73	,1.0546,	0.0000,	0.0078
2024-04-05 18:20:06.007971	,74	,1.0448,	0.0000,	0.0078
2024-04-05 18:20:20.562020	,75	,1.0605,	0.0000,	0.0078
2024-04-05 18:20:35.068723	,76	,1.0166,	0.0000,	0.0078
2024-04-05 18:20:49.717991	,77	,1.0249,	0.0000,	0.0078
2024-04-05 18:21:04.248304	,78	,1.0130,	0.0000,	0.0078
2024-04-05 18:21:18.963015	,79	,1.0603,	0.0000,	0.0078
2024-04-05 18:21:33.489898	,80	,1.0009,	0.0000,	0.0078
2024-04-05 18:21:48.039265	,81	,1.0451,	0.0000,	0.0078
