Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 22:08:37.000948	,0	,1.1068,	0.0000,	0.3400
2024-04-17 22:08:37.011949	,1	,1.1851,	0.0000,	0.3033
2024-04-17 22:08:37.019690	,2	,1.1084,	0.0000,	0.3333
2024-04-17 22:08:37.029695	,3	,1.1462,	0.0000,	0.2800
2024-04-17 22:08:37.039914	,4	,1.1231,	0.0000,	0.3267
2024-04-17 22:08:37.049914	,5	,1.0653,	0.0000,	0.3567
2024-04-17 22:08:37.063914	,6	,1.1228,	0.0000,	0.2967
2024-04-17 22:08:37.071916	,7	,1.1232,	0.0000,	0.2933
2024-04-17 22:08:37.085917	,8	,1.1392,	0.0000,	0.3300
2024-04-17 22:08:37.094915	,9	,1.1153,	0.0000,	0.3000
2024-04-17 22:08:37.111916	,10	,1.1447,	0.0000,	0.3133
2024-04-17 22:08:37.118922	,11	,1.2068,	0.0000,	0.3267
2024-04-17 22:08:37.131970	,12	,1.1394,	0.0000,	0.3567
2024-04-17 22:08:37.148988	,13	,1.1601,	0.0000,	0.3367
2024-04-17 22:08:37.163988	,14	,1.1150,	0.0000,	0.3300
2024-04-17 22:08:37.170989	,15	,1.0728,	0.0000,	0.2900
2024-04-17 22:08:37.182987	,16	,1.0994,	0.0000,	0.3333
2024-04-17 22:08:37.192988	,17	,1.0820,	0.0000,	0.3233
2024-04-17 22:08:37.201987	,18	,1.1067,	0.0000,	0.3333
2024-04-17 22:08:37.212987	,19	,1.1306,	0.0000,	0.3500
2024-04-17 22:08:37.223994	,20	,1.1742,	0.0000,	0.3533
2024-04-17 22:08:37.233401	,21	,1.1233,	0.0000,	0.3367
2024-04-17 22:08:37.244911	,22	,1.1092,	0.0000,	0.3300
2024-04-17 22:08:37.252911	,23	,1.1173,	0.0000,	0.3200
2024-04-17 22:08:37.263911	,24	,1.1216,	0.0000,	0.2733
2024-04-17 22:08:37.272911	,25	,1.0877,	0.0000,	0.3533
2024-04-17 22:08:37.283911	,26	,1.1467,	0.0000,	0.3767
2024-04-17 22:08:37.293911	,27	,1.1116,	0.0000,	0.3267
2024-04-17 22:08:37.300910	,28	,1.1114,	0.0000,	0.2967
2024-04-17 22:08:37.311677	,29	,1.1355,	0.0000,	0.3067
2024-04-17 22:08:37.698181	,30	,1.1674,	0.0000,	0.3400
2024-04-17 22:08:37.706093	,31	,1.1183,	0.0000,	0.3033
2024-04-17 22:08:37.714090	,32	,1.0917,	0.0000,	0.3333
2024-04-17 22:08:37.721018	,33	,1.1116,	0.0000,	0.2800
2024-04-17 22:08:37.728025	,34	,1.1154,	0.0000,	0.3267
2024-04-17 22:08:37.736590	,35	,1.0555,	0.0000,	0.3567
2024-04-17 22:08:37.746107	,36	,1.1080,	0.0000,	0.2967
2024-04-17 22:08:37.753105	,37	,1.0602,	0.0000,	0.2933
2024-04-17 22:08:37.761623	,38	,1.1231,	0.0000,	0.3300
2024-04-17 22:08:37.769168	,39	,1.1810,	0.0000,	0.3000
2024-04-17 22:08:37.779170	,40	,1.1254,	0.0000,	0.3133
2024-04-17 22:08:37.789396	,41	,1.0898,	0.0000,	0.3267
2024-04-17 22:08:37.797904	,42	,1.1207,	0.0000,	0.3567
2024-04-17 22:08:37.804908	,43	,1.0676,	0.0000,	0.3367
2024-04-17 22:08:37.813608	,44	,1.1300,	0.0000,	0.3300
2024-04-17 22:08:37.822608	,45	,1.0864,	0.0000,	0.2900
2024-04-17 22:08:37.831613	,46	,1.0795,	0.0000,	0.3333
2024-04-17 22:08:37.837613	,47	,1.0979,	0.0000,	0.3233
2024-04-17 22:08:37.847704	,48	,1.1079,	0.0000,	0.3333
2024-04-17 22:08:37.853704	,49	,1.1166,	0.0000,	0.3500
2024-04-17 22:08:37.864712	,50	,1.1056,	0.0000,	0.3533
2024-04-17 22:08:37.873713	,51	,1.0757,	0.0000,	0.3367
2024-04-17 22:08:37.881223	,52	,1.1198,	0.0000,	0.3300
2024-04-17 22:08:37.888224	,53	,1.0346,	0.0000,	0.3200
2024-04-17 22:08:37.898830	,54	,1.0682,	0.0000,	0.2733
2024-04-17 22:08:37.906833	,55	,1.0982,	0.0000,	0.3533
2024-04-17 22:08:37.915835	,56	,1.1635,	0.0000,	0.3767
2024-04-17 22:08:37.923210	,57	,1.1333,	0.0000,	0.3267
2024-04-17 22:08:37.933209	,58	,1.1534,	0.0000,	0.2967
2024-04-17 22:08:37.940722	,59	,1.1473,	0.0000,	0.3067
