Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-03-15 17:21:58.530256	,0	,1.0430,	0.0000,	0.0000
2024-03-15 17:21:58.541388	,1	,1.1109,	0.0000,	0.0000
2024-03-15 17:21:58.546412	,2	,1.1213,	0.0000,	0.0000
2024-03-15 17:21:58.550745	,3	,1.0964,	0.0000,	0.0000
2024-03-15 17:21:58.555260	,4	,1.0200,	0.0000,	0.0000
2024-03-15 17:21:58.559595	,5	,1.1903,	0.0000,	0.0000
2024-03-15 17:21:58.564702	,6	,1.2389,	0.0000,	0.0000
2024-03-15 17:21:58.568208	,7	,1.1040,	0.0000,	0.0000
2024-03-15 17:21:58.572378	,8	,1.1923,	0.0000,	0.0000
2024-03-15 17:21:58.575278	,9	,1.0285,	0.0000,	0.0000
2024-03-15 17:21:58.578511	,10	,0.8446,	0.0000,	0.0000
2024-03-15 17:21:58.581561	,11	,1.0766,	0.0000,	0.0000
2024-03-15 17:21:58.585152	,12	,0.9180,	0.0000,	0.0000
2024-03-15 17:21:58.588354	,13	,1.0219,	0.0000,	0.0000
2024-03-15 17:21:58.592163	,14	,0.9906,	0.0000,	0.0000
2024-03-15 17:21:58.595899	,15	,1.2130,	0.0000,	0.0000
2024-03-15 17:21:58.600396	,16	,1.0303,	0.0000,	0.0000
2024-03-15 17:21:58.604206	,17	,1.0041,	0.0000,	0.0000
2024-03-15 17:21:58.608100	,18	,0.8377,	0.0000,	0.0000
2024-03-15 17:21:58.611640	,19	,1.0156,	0.0000,	0.0000
2024-03-15 17:21:58.615818	,20	,0.9974,	0.0000,	0.0000
2024-03-15 17:21:58.618918	,21	,0.9299,	0.0000,	0.0000
2024-03-15 17:21:58.622074	,22	,1.1265,	0.0000,	0.0000
2024-03-15 17:21:58.626324	,23	,0.9850,	0.0000,	0.0000
2024-03-15 17:21:58.629783	,24	,0.7858,	0.0000,	0.0000
2024-03-15 17:21:58.632866	,25	,0.9010,	0.0000,	0.0000
2024-03-15 17:21:58.636137	,26	,1.0021,	0.0000,	0.0000
2024-03-15 17:21:58.639204	,27	,1.0140,	0.0000,	0.0000
2024-03-15 17:21:58.642990	,28	,1.1103,	0.0000,	0.0000
2024-03-15 17:21:58.646175	,29	,0.7220,	0.0000,	0.0000
2024-03-15 17:21:58.649194	,30	,0.8402,	0.0000,	0.0000
2024-03-15 17:21:58.652191	,31	,1.1275,	0.0000,	0.0000
2024-03-15 17:21:58.655771	,32	,1.0356,	0.0000,	0.0000
2024-03-15 17:21:58.660016	,33	,0.8905,	0.0000,	0.0000
