Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-09 18:25:39.324676	,0	,1.9331,	0.0000,	0.0000
2024-04-09 18:25:48.344657	,1	,2.0062,	0.0000,	0.0000
2024-04-09 18:25:57.513563	,2	,1.8540,	0.0000,	0.0000
2024-04-09 18:26:06.829399	,3	,2.0040,	0.0000,	0.0200
2024-04-09 18:26:16.054113	,4	,1.6737,	0.0000,	0.1700
2024-04-09 18:26:25.366739	,5	,1.7475,	0.0000,	0.2233
2024-04-09 18:26:34.597765	,6	,1.6775,	0.0000,	0.2133
2024-04-09 18:26:44.087876	,7	,1.8783,	0.0000,	0.2267
2024-04-09 18:26:53.349218	,8	,1.6659,	0.0000,	0.0000
2024-04-09 18:27:02.508984	,9	,1.7443,	0.0000,	0.0000
2024-04-09 18:27:11.810711	,10	,1.7546,	0.0000,	0.0000
2024-04-09 18:27:21.066623	,11	,1.6376,	0.0000,	0.0200
2024-04-09 18:27:30.519097	,12	,1.5784,	0.0000,	0.1700
2024-04-09 18:27:39.843286	,13	,1.5240,	0.0000,	0.2233
2024-04-09 18:27:49.152433	,14	,1.6128,	0.0000,	0.2133
2024-04-09 18:27:58.478979	,15	,1.5572,	0.0000,	0.2267
2024-04-09 18:28:07.826213	,16	,1.4720,	0.0000,	0.0000
2024-04-09 18:28:17.025639	,17	,1.4573,	0.0000,	0.0000
2024-04-09 18:28:26.488967	,18	,1.5108,	0.0000,	0.0000
2024-04-09 18:28:35.558690	,19	,1.4716,	0.0000,	0.0200
2024-04-09 18:28:44.722541	,20	,1.4452,	0.0000,	0.1700
2024-04-09 18:28:53.834059	,21	,1.4045,	0.0000,	0.2233
2024-04-09 18:29:03.000171	,22	,1.5656,	0.0000,	0.2133
2024-04-09 18:29:12.368203	,23	,1.2762,	0.0000,	0.2267
2024-04-09 18:29:21.521206	,24	,1.4858,	0.0000,	0.0000
2024-04-09 18:29:31.194214	,25	,1.6273,	0.0000,	0.0000
2024-04-09 18:29:40.337871	,26	,1.4277,	0.0000,	0.0000
2024-04-09 18:29:49.445198	,27	,1.3433,	0.0000,	0.0200
2024-04-09 18:29:58.677189	,28	,1.4074,	0.0000,	0.1700
2024-04-09 18:30:07.973647	,29	,1.4087,	0.0000,	0.2233
2024-04-09 18:30:17.096410	,30	,1.3068,	0.0000,	0.2133
2024-04-09 18:30:26.290457	,31	,1.4678,	0.0000,	0.2267
2024-04-09 18:30:35.451038	,32	,1.3643,	0.0000,	0.0000
2024-04-09 18:30:44.714163	,33	,1.4783,	0.0000,	0.0000
2024-04-09 18:30:53.946091	,34	,1.2724,	0.0000,	0.0000
2024-04-09 18:31:03.121325	,35	,1.2615,	0.0000,	0.0200
2024-04-09 18:31:12.435845	,36	,1.3014,	0.0000,	0.1700
2024-04-09 18:31:21.692056	,37	,1.3306,	0.0000,	0.2233
2024-04-09 18:31:31.043185	,38	,1.2790,	0.0000,	0.2133
2024-04-09 18:31:40.319797	,39	,1.2574,	0.0000,	0.2267
2024-04-09 18:31:49.495747	,40	,1.3082,	0.0000,	0.0000
2024-04-09 18:31:58.685697	,41	,1.2980,	0.0000,	0.0000
2024-04-09 18:32:07.905051	,42	,1.3342,	0.0000,	0.0000
2024-04-09 18:32:17.140484	,43	,1.3133,	0.0000,	0.0200
2024-04-09 18:32:26.234869	,44	,1.2277,	0.0000,	0.1700
2024-04-09 18:32:35.610303	,45	,1.1934,	0.0000,	0.2233
2024-04-09 18:32:44.850806	,46	,1.2902,	0.0000,	0.2133
2024-04-09 18:32:54.195482	,47	,1.2680,	0.0000,	0.2267
2024-04-09 18:33:03.343040	,48	,1.2372,	0.0000,	0.0000
2024-04-09 18:33:12.574744	,49	,1.2820,	0.0000,	0.0000
2024-04-09 18:33:21.789802	,50	,1.2563,	0.0000,	0.0000
2024-04-09 18:33:31.213463	,51	,1.1903,	0.0000,	0.0200
2024-04-09 18:33:40.329471	,52	,1.2200,	0.0000,	0.1700
2024-04-09 18:33:49.613682	,53	,1.2438,	0.0000,	0.2233
2024-04-09 18:33:58.894673	,54	,1.1729,	0.0000,	0.2133
2024-04-09 18:34:08.052850	,55	,1.2597,	0.0000,	0.2267
2024-04-09 18:34:17.078244	,56	,1.2047,	0.0000,	0.0000
2024-04-09 18:34:26.426949	,57	,1.2031,	0.0000,	0.0000
2024-04-09 18:34:35.707464	,58	,1.1930,	0.0000,	0.0000
2024-04-09 18:34:45.037039	,59	,1.2478,	0.0000,	0.0200
2024-04-09 18:34:54.222905	,60	,1.2105,	0.0000,	0.1700
2024-04-09 18:35:03.519491	,61	,1.1358,	0.0000,	0.2233
2024-04-09 18:35:12.784725	,62	,1.1541,	0.0000,	0.2133
2024-04-09 18:35:22.126426	,63	,1.2037,	0.0000,	0.2267
2024-04-09 18:35:31.646364	,64	,1.2393,	0.0000,	0.0000
2024-04-09 18:35:40.900640	,65	,1.1769,	0.0000,	0.0000
2024-04-09 18:35:50.124337	,66	,1.1548,	0.0000,	0.0000
2024-04-09 18:35:59.375460	,67	,1.1945,	0.0000,	0.0200
2024-04-09 18:36:08.650688	,68	,1.1192,	0.0000,	0.1700
2024-04-09 18:36:17.898443	,69	,1.2121,	0.0000,	0.2233
2024-04-09 18:36:27.572331	,70	,1.2144,	0.0000,	0.2133
2024-04-09 18:36:36.983465	,71	,1.1105,	0.0000,	0.2267
2024-04-09 18:36:46.115984	,72	,1.1003,	0.0000,	0.0000
2024-04-09 18:36:55.396826	,73	,1.1544,	0.0000,	0.0000
2024-04-09 18:37:04.701427	,74	,1.1357,	0.0000,	0.0000
2024-04-09 18:37:13.925825	,75	,1.1079,	0.0000,	0.0200
2024-04-09 18:37:23.238535	,76	,1.1523,	0.0000,	0.1700
2024-04-09 18:37:32.557828	,77	,1.1293,	0.0000,	0.2233
2024-04-09 18:37:41.766748	,78	,1.1337,	0.0000,	0.2133
2024-04-09 18:37:50.866575	,79	,1.1321,	0.0000,	0.2267
2024-04-09 18:37:59.980380	,80	,1.1332,	0.0000,	0.0000
2024-04-09 18:38:09.162028	,81	,1.1292,	0.0000,	0.0000
2024-04-09 18:38:18.283725	,82	,1.1342,	0.0000,	0.0000
2024-04-09 18:38:27.411288	,83	,1.1277,	0.0000,	0.0200
2024-04-09 18:38:36.614309	,84	,1.1435,	0.0000,	0.1700
2024-04-09 18:38:45.758157	,85	,1.1702,	0.0000,	0.2233
2024-04-09 18:38:54.950984	,86	,1.0891,	0.0000,	0.2133
2024-04-09 18:39:04.319506	,87	,1.0847,	0.0000,	0.2267
2024-04-09 18:39:13.578251	,88	,1.1055,	0.0000,	0.0000
2024-04-09 18:39:22.844547	,89	,1.1931,	0.0000,	0.0000
2024-04-09 18:39:32.035099	,90	,1.1133,	0.0000,	0.0000
2024-04-09 18:39:41.213305	,91	,1.0690,	0.0000,	0.0200
2024-04-09 18:39:50.334989	,92	,1.1060,	0.0000,	0.1700
2024-04-09 18:39:59.298060	,93	,1.0420,	0.0000,	0.2233
