Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-09 18:12:09.241378	,0	,2.3131,	0.0000,	0.0000
2024-04-09 18:12:28.968934	,1	,2.5662,	0.0000,	0.0000
2024-04-09 18:12:49.439823	,2	,2.2171,	0.0000,	0.0000
2024-04-09 18:12:59.812583	,3	,1.9654,	0.0000,	0.0000
2024-04-09 18:13:20.514534	,4	,2.2287,	0.0000,	0.0000
2024-04-09 18:13:42.763158	,5	,2.0719,	0.0000,	0.0000
2024-04-09 18:14:05.484581	,6	,2.0759,	0.0000,	0.0000
2024-04-09 18:14:17.976265	,7	,1.7597,	0.0000,	0.0000
2024-04-09 18:14:42.545206	,8	,2.0264,	0.0000,	0.0000
2024-04-09 18:15:06.648023	,9	,2.2563,	0.0000,	0.0000
2024-04-09 18:15:34.087190	,10	,1.9790,	0.0000,	0.0000
2024-04-09 18:15:47.132495	,11	,1.7714,	0.0000,	0.0000
2024-04-09 18:16:15.890611	,12	,1.7750,	0.0000,	0.0000
2024-04-09 18:16:40.420020	,13	,2.0293,	0.0000,	0.0000
2024-04-09 18:17:05.644875	,14	,1.7291,	0.0000,	0.0000
2024-04-09 18:17:17.908851	,15	,1.4032,	0.0000,	0.0000
2024-04-09 18:17:42.240527	,16	,1.7754,	0.0000,	0.0000
2024-04-09 18:18:04.876601	,17	,1.9360,	0.0000,	0.0000
2024-04-09 18:18:26.277936	,18	,1.5992,	0.0000,	0.0000
2024-04-09 18:18:37.272306	,19	,1.4622,	0.0000,	0.0000
2024-04-09 18:18:58.017454	,20	,1.7319,	0.0000,	0.0000
2024-04-09 18:19:18.830465	,21	,1.6110,	0.0000,	0.0000
2024-04-09 18:19:39.342195	,22	,1.5943,	0.0000,	0.0000
2024-04-09 18:19:49.243248	,23	,1.4299,	0.0000,	0.0000
2024-04-09 18:20:09.571553	,24	,1.6589,	0.0000,	0.0000
2024-04-09 18:20:29.777543	,25	,1.7005,	0.0000,	0.0000
2024-04-09 18:20:49.754947	,26	,1.5625,	0.0000,	0.0000
2024-04-09 18:20:59.544195	,27	,1.3519,	0.0000,	0.0000
2024-04-09 18:21:19.657039	,28	,1.5824,	0.0000,	0.0000
2024-04-09 18:21:39.917329	,29	,1.5709,	0.0000,	0.0000
2024-04-09 18:22:00.411339	,30	,1.5721,	0.0000,	0.0000
2024-04-09 18:22:10.588653	,31	,1.4149,	0.0000,	0.0000
