Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-17 18:06:28.503701	,0	,2.3364,	0.0000,	0.0000
2024-04-17 18:06:38.713750	,1	,2.1486,	0.0000,	0.0000
2024-04-17 18:06:48.661110	,2	,2.0414,	0.0000,	0.0000
2024-04-17 18:06:58.672459	,3	,2.1773,	0.0000,	0.0233
2024-04-17 18:07:08.819164	,4	,1.8461,	0.0000,	0.1467
2024-04-17 18:07:18.638654	,5	,1.8295,	0.0000,	0.2400
2024-04-17 18:07:28.450519	,6	,1.9394,	0.0000,	0.2167
2024-04-17 18:07:38.241993	,7	,2.0652,	0.0000,	0.2500
2024-04-17 18:07:48.090303	,8	,1.9472,	0.0000,	0.0000
2024-04-17 18:07:57.812628	,9	,2.0053,	0.0000,	0.0000
2024-04-17 18:08:07.572913	,10	,2.0392,	0.0000,	0.0000
2024-04-17 18:08:17.366100	,11	,1.7767,	0.0000,	0.0233
2024-04-17 18:08:27.037630	,12	,1.9376,	0.0000,	0.1467
2024-04-17 18:08:36.881260	,13	,1.9079,	0.0000,	0.2400
2024-04-17 18:08:46.928067	,14	,1.7309,	0.0000,	0.2167
2024-04-17 18:08:57.048222	,15	,1.7271,	0.0000,	0.2500
2024-04-17 18:09:06.761666	,16	,1.6236,	0.0000,	0.0000
2024-04-17 18:09:16.562923	,17	,1.7631,	0.0000,	0.0000
2024-04-17 18:09:26.315993	,18	,1.6339,	0.0000,	0.0000
2024-04-17 18:09:36.224038	,19	,1.7312,	0.0000,	0.0233
2024-04-17 18:09:45.914289	,20	,1.6310,	0.0000,	0.1467
2024-04-17 18:09:55.613620	,21	,1.6038,	0.0000,	0.2400
2024-04-17 18:10:05.443954	,22	,1.6297,	0.0000,	0.2167
2024-04-17 18:10:15.257151	,23	,1.5836,	0.0000,	0.2500
2024-04-17 18:10:25.065362	,24	,1.6042,	0.0000,	0.0000
2024-04-17 18:10:34.606029	,25	,1.6907,	0.0000,	0.0000
2024-04-17 18:10:44.093873	,26	,1.5366,	0.0000,	0.0000
2024-04-17 18:10:53.905406	,27	,1.5555,	0.0000,	0.0233
2024-04-17 18:11:03.458347	,28	,1.4794,	0.0000,	0.1467
2024-04-17 18:11:13.042776	,29	,1.5756,	0.0000,	0.2400
2024-04-17 18:11:22.827303	,30	,1.4224,	0.0000,	0.2167
2024-04-17 18:11:32.598899	,31	,1.5917,	0.0000,	0.2500
2024-04-17 18:11:42.512651	,32	,1.4965,	0.0000,	0.0000
2024-04-17 18:11:52.367308	,33	,1.5895,	0.0000,	0.0000
2024-04-17 18:12:01.980437	,34	,1.4719,	0.0000,	0.0000
2024-04-17 18:12:11.734498	,35	,1.4403,	0.0000,	0.0233
2024-04-17 18:12:21.344610	,36	,1.5116,	0.0000,	0.1467
2024-04-17 18:12:31.087482	,37	,1.4405,	0.0000,	0.2400
2024-04-17 18:12:40.848219	,38	,1.4005,	0.0000,	0.2167
2024-04-17 18:12:51.825282	,39	,1.4580,	0.0000,	0.2500
2024-04-17 18:13:01.615645	,40	,1.3777,	0.0000,	0.0000
2024-04-17 18:13:11.338897	,41	,1.3737,	0.0000,	0.0000
2024-04-17 18:13:20.964817	,42	,1.4161,	0.0000,	0.0000
2024-04-17 18:13:30.413092	,43	,1.4087,	0.0000,	0.0233
2024-04-17 18:13:40.042876	,44	,1.4155,	0.0000,	0.1467
2024-04-17 18:13:49.853717	,45	,1.3982,	0.0000,	0.2400
2024-04-17 18:13:59.639377	,46	,1.3819,	0.0000,	0.2167
2024-04-17 18:14:09.587041	,47	,1.3819,	0.0000,	0.2500
2024-04-17 18:14:19.231408	,48	,1.5397,	0.0000,	0.0000
2024-04-17 18:14:28.705547	,49	,1.3811,	0.0000,	0.0000
2024-04-17 18:14:38.215298	,50	,1.3725,	0.0000,	0.0000
2024-04-17 18:14:47.789455	,51	,1.3257,	0.0000,	0.0233
2024-04-17 18:14:57.340389	,52	,1.4205,	0.0000,	0.1467
2024-04-17 18:15:06.768502	,53	,1.2854,	0.0000,	0.2400
2024-04-17 18:15:16.344561	,54	,1.4093,	0.0000,	0.2167
2024-04-17 18:15:25.854361	,55	,1.3227,	0.0000,	0.2500
2024-04-17 18:15:35.459615	,56	,1.2870,	0.0000,	0.0000
2024-04-17 18:15:44.898603	,57	,1.3329,	0.0000,	0.0000
2024-04-17 18:15:54.709261	,58	,1.2954,	0.0000,	0.0000
2024-04-17 18:16:04.416222	,59	,1.2807,	0.0000,	0.0233
2024-04-17 18:16:13.929469	,60	,1.2917,	0.0000,	0.1467
2024-04-17 18:16:23.727899	,61	,1.2911,	0.0000,	0.2400
2024-04-17 18:16:33.458338	,62	,1.2872,	0.0000,	0.2167
2024-04-17 18:16:42.953816	,63	,1.2683,	0.0000,	0.2500
2024-04-17 18:16:52.374064	,64	,1.2240,	0.0000,	0.0000
2024-04-17 18:17:02.089287	,65	,1.2221,	0.0000,	0.0000
2024-04-17 18:17:11.867452	,66	,1.3329,	0.0000,	0.0000
2024-04-17 18:17:21.611913	,67	,1.2713,	0.0000,	0.0233
2024-04-17 18:17:31.049350	,68	,1.3057,	0.0000,	0.1467
2024-04-17 18:17:40.732298	,69	,1.3230,	0.0000,	0.2400
2024-04-17 18:17:51.130488	,70	,1.3437,	0.0000,	0.2167
2024-04-17 18:18:00.874078	,71	,1.2348,	0.0000,	0.2500
2024-04-17 18:18:10.560960	,72	,1.2937,	0.0000,	0.0000
2024-04-17 18:18:20.369411	,73	,1.2485,	0.0000,	0.0000
2024-04-17 18:18:30.273192	,74	,1.2506,	0.0000,	0.0000
2024-04-17 18:18:40.122087	,75	,1.1707,	0.0000,	0.0233
2024-04-17 18:18:50.109151	,76	,1.3214,	0.0000,	0.1467
2024-04-17 18:18:59.880384	,77	,1.2061,	0.0000,	0.2400
2024-04-17 18:19:09.700304	,78	,1.2360,	0.0000,	0.2167
2024-04-17 18:19:19.416218	,79	,1.1963,	0.0000,	0.2500
2024-04-17 18:19:29.183517	,80	,1.2052,	0.0000,	0.0000
2024-04-17 18:19:38.922177	,81	,1.1710,	0.0000,	0.0000
2024-04-17 18:19:48.886568	,82	,1.1998,	0.0000,	0.0000
2024-04-17 18:19:58.742299	,83	,1.1375,	0.0000,	0.0233
2024-04-17 18:20:08.483442	,84	,1.2170,	0.0000,	0.1467
2024-04-17 18:20:18.150230	,85	,1.2200,	0.0000,	0.2400
2024-04-17 18:20:27.944414	,86	,1.2088,	0.0000,	0.2167
2024-04-17 18:20:37.784273	,87	,1.2016,	0.0000,	0.2500
2024-04-17 18:20:47.503613	,88	,1.1763,	0.0000,	0.0000
2024-04-17 18:20:57.341213	,89	,1.3256,	0.0000,	0.0000
2024-04-17 18:21:07.141172	,90	,1.2244,	0.0000,	0.0000
2024-04-17 18:21:16.892451	,91	,1.1888,	0.0000,	0.0233
2024-04-17 18:21:26.752776	,92	,1.2271,	0.0000,	0.1467
2024-04-17 18:21:36.508197	,93	,1.2346,	0.0000,	0.2400
2024-04-17 18:21:46.419520	,94	,1.2116,	0.0000,	0.2167
2024-04-17 18:21:56.398840	,95	,1.1962,	0.0000,	0.2500
2024-04-17 18:22:06.129843	,96	,1.0828,	0.0000,	0.0000
2024-04-17 18:22:16.223576	,97	,1.1525,	0.0000,	0.0000
2024-04-17 18:22:26.192256	,98	,1.1890,	0.0000,	0.0000
2024-04-17 18:22:35.987654	,99	,1.1956,	0.0000,	0.0233
2024-04-17 18:22:45.785698	,100	,1.1312,	0.0000,	0.1467
2024-04-17 18:22:55.849180	,101	,1.1439,	0.0000,	0.2400
2024-04-17 18:23:05.915585	,102	,1.1256,	0.0000,	0.2167
2024-04-17 18:23:15.700994	,103	,1.1629,	0.0000,	0.2500
2024-04-17 18:23:25.312814	,104	,1.1772,	0.0000,	0.0000
2024-04-17 18:23:35.207096	,105	,1.1051,	0.0000,	0.0000
2024-04-17 18:23:45.186359	,106	,1.1850,	0.0000,	0.0000
2024-04-17 18:23:55.119335	,107	,1.2000,	0.0000,	0.0233
2024-04-17 18:24:05.231801	,108	,1.1951,	0.0000,	0.1467
2024-04-17 18:24:15.350160	,109	,1.1075,	0.0000,	0.2400
2024-04-17 18:24:25.398639	,110	,1.0996,	0.0000,	0.2167
2024-04-17 18:24:35.261276	,111	,1.1317,	0.0000,	0.2500
2024-04-17 18:24:45.265684	,112	,1.1387,	0.0000,	0.0000
2024-04-17 18:24:54.914407	,113	,1.1316,	0.0000,	0.0000
2024-04-17 18:25:04.573044	,114	,1.1943,	0.0000,	0.0000
2024-04-17 18:25:14.357916	,115	,1.0707,	0.0000,	0.0233
2024-04-17 18:25:23.966236	,116	,1.1282,	0.0000,	0.1467
2024-04-17 18:25:33.854572	,117	,1.1226,	0.0000,	0.2400
2024-04-17 18:25:44.561859	,118	,1.1322,	0.0000,	0.2167
2024-04-17 18:25:54.389144	,119	,1.1116,	0.0000,	0.2500
2024-04-17 18:26:04.281580	,120	,1.1204,	0.0000,	0.0000
2024-04-17 18:26:14.482484	,121	,1.0871,	0.0000,	0.0000
2024-04-17 18:26:24.534404	,122	,1.1163,	0.0000,	0.0000
2024-04-17 18:26:34.655508	,123	,1.0390,	0.0000,	0.0233
2024-04-17 18:26:44.586682	,124	,1.1525,	0.0000,	0.1467
2024-04-17 18:26:54.882884	,125	,1.0375,	0.0000,	0.2400
2024-04-17 18:27:04.655094	,126	,1.0634,	0.0000,	0.2167
2024-04-17 18:27:14.480107	,127	,1.0746,	0.0000,	0.2500
