Epoch	Train Loss	Train Accuracy	Validation Accuracy
2024-04-10 12:15:13.870795	,0	,1.6620,	0.0000,	0.1010
2024-04-10 12:15:22.675136	,1	,1.7396,	0.0000,	0.1060
2024-04-10 12:15:31.543893	,2	,1.6763,	0.0000,	0.1033
2024-04-10 12:15:40.274846	,3	,1.6039,	0.0000,	0.1093
2024-04-10 12:15:49.224755	,4	,1.5385,	0.0000,	0.1017
2024-04-10 12:15:58.039858	,5	,1.6740,	0.0000,	0.1013
2024-04-10 12:16:06.920993	,6	,1.7140,	0.0000,	0.1060
2024-04-10 12:16:15.693212	,7	,1.4082,	0.0000,	0.1013
2024-04-10 12:16:24.423666	,8	,1.6132,	0.0000,	0.1010
2024-04-10 12:16:33.227437	,9	,1.5053,	0.0000,	0.1060
2024-04-10 12:16:42.089402	,10	,1.6554,	0.0000,	0.1033
2024-04-10 12:16:50.873145	,11	,1.5745,	0.0000,	0.1093
2024-04-10 12:16:59.581748	,12	,1.4765,	0.0000,	0.1017
2024-04-10 12:17:08.452578	,13	,1.4299,	0.0000,	0.1013
2024-04-10 12:17:17.385359	,14	,1.4522,	0.0000,	0.1060
2024-04-10 12:17:26.172606	,15	,1.5418,	0.0000,	0.1013
2024-04-10 12:17:35.011611	,16	,1.3899,	0.0000,	0.1010
2024-04-10 12:17:43.732539	,17	,1.4662,	0.0000,	0.1060
2024-04-10 12:17:52.618398	,18	,1.3699,	0.0000,	0.1033
2024-04-10 12:18:01.431067	,19	,1.4382,	0.0000,	0.1093
2024-04-10 12:18:10.193525	,20	,1.3831,	0.0000,	0.1017
2024-04-10 12:18:18.987362	,21	,1.4001,	0.0000,	0.1013
2024-04-10 12:18:27.824507	,22	,1.2990,	0.0000,	0.1060
2024-04-10 12:18:36.794797	,23	,1.3523,	0.0000,	0.1013
2024-04-10 12:18:45.574720	,24	,1.3156,	0.0000,	0.1010
2024-04-10 12:18:54.485320	,25	,1.3705,	0.0000,	0.1060
2024-04-10 12:19:03.444760	,26	,1.3675,	0.0000,	0.1033
2024-04-10 12:19:12.376676	,27	,1.3821,	0.0000,	0.1093
2024-04-10 12:19:21.133584	,28	,1.3708,	0.0000,	0.1017
2024-04-10 12:19:29.900110	,29	,1.3802,	0.0000,	0.1013
2024-04-10 12:19:38.721518	,30	,1.3011,	0.0000,	0.1060
2024-04-10 12:19:47.587249	,31	,1.3403,	0.0000,	0.1013
2024-04-10 12:19:56.464471	,32	,1.2967,	0.0000,	0.1010
2024-04-10 12:20:05.427490	,33	,1.2340,	0.0000,	0.1060
2024-04-10 12:20:14.329710	,34	,1.2896,	0.0000,	0.1033
2024-04-10 12:20:23.213349	,35	,1.2168,	0.0000,	0.1093
2024-04-10 12:20:31.996261	,36	,1.2702,	0.0000,	0.1017
2024-04-10 12:20:40.804221	,37	,1.2262,	0.0000,	0.1013
2024-04-10 12:20:49.599865	,38	,1.2118,	0.0000,	0.1060
2024-04-10 12:20:58.453104	,39	,1.3123,	0.0000,	0.1013
2024-04-10 12:21:07.268478	,40	,1.2077,	0.0000,	0.1010
2024-04-10 12:21:16.175627	,41	,1.1814,	0.0000,	0.1060
2024-04-10 12:21:25.306811	,42	,1.2670,	0.0000,	0.1033
2024-04-10 12:21:35.495258	,43	,1.2564,	0.0000,	0.1093
2024-04-10 12:21:45.301654	,44	,1.2551,	0.0000,	0.1017
2024-04-10 12:21:55.049171	,45	,1.2407,	0.0000,	0.1013
2024-04-10 12:22:04.940844	,46	,1.2784,	0.0000,	0.1060
2024-04-10 12:22:14.690667	,47	,1.1864,	0.0000,	0.1013
